miRNA,GSM4113683,GSM4113684,GSM4113685,GSM4113686,GSM4113687,GSM4113688,GSM4113689,GSM4113690,GSM4113691,GSM4113692,GSM4113693,GSM4113694,GSM4113695,GSM4113696,GSM4113697,GSM4113698,GSM4113699,GSM4113700
hsa-miR-130b-3p,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,9.82,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0
hsa-miR-130b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0
hsa-miR-1323,0.0,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-133a-3p,114.43,7.32,0.0,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35
hsa-miR-135b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0
hsa-miR-138-1-3p,0.0,14.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-138-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-140-3p,0.0,0.0,0.0,0.0,12.61,0.0,0.0,0.0,9.82,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0
hsa-miR-141-3p,16.35,0.0,0.0,0.0,81.94,0.0,54.63,0.0,58.91,15.89,7.13,4.84,0.0,119.37,8.39,6.66,0.0,0.0
hsa-miR-142-5p,0.0,0.0,0.0,0.0,37.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66,0.0,0.0
hsa-miR-143-3p,0.0,0.0,0.0,0.0,18.91,0.0,13.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.16,0.0,0.0,7.35
hsa-miR-1468-5p,0.0,0.0,0.0,0.0,25.21,0.0,0.0,0.0,9.82,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0
hsa-miR-146a-5p,0.0,7.32,0.0,6.63,6.3,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,7.35
hsa-miR-146b-3p,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0
hsa-miR-146b-5p,0.0,0.0,0.0,0.0,12.61,0.0,13.66,0.0,0.0,0.0,0.0,0.0,0.0,12.57,0.0,0.0,0.0,0.0
hsa-miR-148a-3p,49.04,36.61,27.35,0.0,491.63,6.0,122.91,0.0,78.55,7.95,21.39,0.0,0.0,508.9,25.16,6.66,7.05,0.0
hsa-miR-148a-5p,16.35,0.0,0.0,0.0,12.61,0.0,0.0,0.0,39.27,0.0,7.13,0.0,0.0,25.13,0.0,0.0,0.0,0.0
hsa-miR-148b-3p,0.0,0.0,0.0,0.0,0.0,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-149-5p,0.0,0.0,0.0,0.0,0.0,0.0,13.66,0.0,0.0,0.0,0.0,0.0,0.0,18.85,0.0,0.0,0.0,0.0
hsa-miR-151a-3p,38.14,21.97,0.0,0.0,151.27,30.02,34.14,0.0,117.82,7.95,21.39,4.84,7.7,163.35,0.0,19.98,0.0,14.7
hsa-miR-151a-5p,5.45,7.32,0.0,0.0,195.39,0.0,81.94,0.0,39.27,7.95,0.0,4.84,0.0,56.54,0.0,0.0,0.0,22.05
hsa-miR-151b,0.0,0.0,0.0,0.0,0.0,0.0,20.48,0.0,0.0,0.0,0.0,0.0,0.0,43.98,0.0,0.0,0.0,0.0
hsa-miR-15b-5p,0.0,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-16-5p,10.9,0.0,0.0,0.0,44.12,0.0,6.83,0.0,0.0,7.95,0.0,0.0,7.7,18.85,0.0,26.64,0.0,7.35
hsa-miR-17-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7
hsa-miR-181a-2-3p,5.45,0.0,0.0,0.0,12.61,0.0,47.8,0.0,0.0,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0
hsa-miR-181a-3p,0.0,0.0,0.0,0.0,0.0,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181a-5p,70.84,51.25,54.7,0.0,668.11,126.08,314.1,0.0,432.02,47.68,28.52,9.69,0.0,772.77,0.0,6.66,49.37,36.75
hsa-miR-181b-5p,0.0,7.32,0.0,0.0,56.73,0.0,27.31,0.0,19.64,0.0,21.39,0.0,0.0,56.54,0.0,0.0,0.0,0.0
hsa-miR-181c-3p,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,6.28,0.0,0.0,0.0,0.0
hsa-miR-181c-5p,0.0,0.0,0.0,0.0,6.3,6.0,13.66,0.0,29.46,0.0,0.0,0.0,0.0,12.57,0.0,0.0,0.0,0.0
hsa-miR-182-5p,21.8,7.32,0.0,0.0,100.85,0.0,34.14,0.0,39.27,0.0,7.13,0.0,0.0,62.83,0.0,0.0,0.0,29.4
hsa-miR-183-5p,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,29.46,7.95,0.0,0.0,0.0,6.28,0.0,0.0,0.0,14.7
hsa-miR-1843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.85,0.0,0.0,0.0,0.0
hsa-miR-185-3p,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-186-5p,16.35,14.64,9.12,0.0,189.09,6.0,27.31,0.0,39.27,0.0,35.65,0.0,15.41,144.5,0.0,0.0,0.0,29.4
hsa-miR-187-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35
hsa-miR-188-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0
hsa-miR-188-5p,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-18b-5p,0.0,14.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-190a-5p,0.0,0.0,0.0,0.0,12.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-191-3p,0.0,14.64,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-191-5p,49.04,21.97,9.12,6.63,384.48,138.08,341.41,6.62,245.47,63.58,21.39,0.0,15.41,389.53,0.0,6.66,0.0,14.7
hsa-miR-192-5p,21.8,0.0,72.93,0.0,1279.49,90.05,355.07,6.62,127.64,0.0,28.52,14.53,0.0,1112.04,0.0,13.32,7.05,22.05
hsa-miR-193a-3p,0.0,0.0,0.0,0.0,12.61,0.0,0.0,0.0,9.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-193b-3p,0.0,14.64,0.0,0.0,12.61,0.0,0.0,0.0,0.0,7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-194-5p,0.0,0.0,0.0,0.0,31.51,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,37.7,0.0,0.0,0.0,0.0
hsa-miR-195-3p,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-197-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0
hsa-miR-19b-3p,5.45,0.0,0.0,0.0,12.61,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,12.57,0.0,0.0,0.0,7.35
hsa-miR-200a-3p,5.45,21.97,0.0,0.0,100.85,0.0,6.83,0.0,9.82,0.0,0.0,14.53,0.0,69.11,0.0,0.0,0.0,0.0
hsa-miR-200a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39,0.0,0.0,0.0
hsa-miR-200b-3p,21.8,0.0,9.12,0.0,75.63,6.0,34.14,0.0,0.0,0.0,7.13,0.0,0.0,12.57,0.0,6.66,0.0,0.0
hsa-miR-200c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.85,0.0,0.0,0.0,7.35
hsa-miR-203a-3p,0.0,175.73,0.0,0.0,113.45,108.07,532.6,0.0,127.64,119.21,185.4,159.84,285.04,62.83,150.95,0.0,35.26,36.75
hsa-miR-204-5p,87.18,7.32,72.93,0.0,2407.71,78.05,1980.2,0.0,117.82,15.89,0.0,14.53,7.7,1375.91,0.0,26.64,35.26,22.05
hsa-miR-205-5p,5.45,0.0,0.0,0.0,94.54,0.0,116.08,0.0,19.64,23.84,0.0,4.84,0.0,56.54,8.39,0.0,0.0,0.0
hsa-miR-20a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.69,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-21-3p,5.45,0.0,0.0,0.0,12.61,0.0,0.0,0.0,0.0,0.0,7.13,0.0,0.0,56.54,0.0,0.0,0.0,7.35
hsa-miR-21-5p,10.9,0.0,0.0,0.0,226.9,12.01,129.74,0.0,19.64,15.89,7.13,4.84,0.0,169.63,8.39,46.63,0.0,44.1
hsa-miR-210-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,18.85,0.0,0.0,0.0,14.7
hsa-miR-210-5p,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-216b-5p,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-219a-5p,0.0,0.0,0.0,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-22-3p,359.63,161.08,255.26,6.63,3025.39,540.33,2144.08,6.62,1571.0,79.47,249.57,87.19,61.63,2770.67,16.77,146.54,112.85,147.0
hsa-miR-221-3p,16.35,0.0,0.0,0.0,50.42,0.0,27.31,0.0,0.0,0.0,21.39,4.84,7.7,50.26,0.0,6.66,0.0,0.0
hsa-miR-222-3p,16.35,21.97,0.0,0.0,321.45,42.03,286.79,0.0,39.27,7.95,7.13,0.0,0.0,263.87,0.0,0.0,0.0,0.0
hsa-miR-223-3p,0.0,0.0,0.0,0.0,18.91,0.0,6.83,0.0,0.0,7.95,0.0,9.69,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-224-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0
hsa-miR-2277-5p,0.0,0.0,0.0,0.0,0.0,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-23a-3p,0.0,0.0,0.0,0.0,50.42,6.0,0.0,0.0,0.0,0.0,7.13,4.84,30.82,0.0,0.0,6.66,14.11,0.0
hsa-miR-23b-3p,5.45,7.32,100.28,0.0,12.61,0.0,61.45,26.46,9.82,0.0,14.26,0.0,0.0,6.28,25.16,0.0,21.16,14.7
hsa-miR-24-3p,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,9.82,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0
hsa-miR-25-3p,0.0,0.0,0.0,0.0,63.03,18.01,13.66,0.0,29.46,0.0,21.39,0.0,0.0,31.41,0.0,6.66,0.0,7.35
hsa-miR-25-5p,0.0,0.0,0.0,0.0,0.0,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-26a-5p,81.73,58.58,82.05,0.0,888.71,48.03,375.55,6.62,0.0,71.53,49.91,33.91,23.11,1225.13,16.77,0.0,28.21,132.3
hsa-miR-26b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0
hsa-miR-26b-5p,0.0,7.32,0.0,0.0,31.51,0.0,27.31,0.0,9.82,7.95,0.0,4.84,0.0,25.13,0.0,19.98,0.0,0.0
hsa-miR-27a-3p,49.04,21.97,36.47,6.63,208.0,18.01,143.39,0.0,68.73,23.84,35.65,116.25,61.63,12.57,25.16,13.32,119.9,0.0
hsa-miR-27a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66,0.0,0.0
hsa-miR-27b-3p,81.73,43.93,437.6,59.64,806.77,114.07,368.73,99.23,78.55,7.95,114.09,0.0,15.41,672.25,109.02,99.92,42.32,169.04
hsa-miR-27b-5p,0.0,0.0,0.0,0.0,0.0,0.0,13.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-28-3p,32.69,7.32,0.0,0.0,271.02,18.01,122.91,0.0,49.09,0.0,35.65,0.0,0.0,81.68,0.0,6.66,0.0,7.35
hsa-miR-28-5p,0.0,0.0,0.0,0.0,6.3,0.0,13.66,0.0,0.0,0.0,0.0,0.0,0.0,12.57,0.0,0.0,0.0,0.0
hsa-miR-29a-3p,0.0,0.0,0.0,6.63,44.12,18.01,6.83,0.0,9.82,0.0,0.0,0.0,0.0,6.28,0.0,6.66,14.11,0.0
hsa-miR-29b-3p,0.0,0.0,0.0,0.0,12.61,0.0,0.0,13.23,0.0,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0
hsa-miR-29c-3p,5.45,0.0,0.0,0.0,25.21,6.0,0.0,0.0,9.82,0.0,0.0,0.0,0.0,37.7,0.0,0.0,0.0,0.0
hsa-miR-29c-5p,0.0,0.0,0.0,0.0,0.0,0.0,13.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-301a-3p,5.45,0.0,9.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-301b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-30a-3p,21.8,0.0,0.0,0.0,163.88,0.0,95.6,0.0,9.82,0.0,0.0,0.0,15.41,69.11,0.0,0.0,0.0,29.4
hsa-miR-30a-5p,163.47,43.93,91.17,0.0,5433.1,252.15,1188.12,13.23,1030.97,71.53,171.14,67.81,53.93,7181.14,0.0,93.25,49.37,426.29
hsa-miR-30b-5p,5.45,0.0,9.12,0.0,252.12,0.0,81.94,0.0,49.09,7.95,0.0,0.0,0.0,119.37,0.0,19.98,0.0,0.0
hsa-miR-30c-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-30c-2-3p,0.0,14.64,9.12,0.0,31.51,0.0,40.97,0.0,0.0,0.0,0.0,0.0,0.0,31.41,0.0,0.0,0.0,7.35
hsa-miR-30c-5p,65.39,7.32,45.58,0.0,857.2,78.05,416.52,0.0,137.46,0.0,7.13,19.37,0.0,779.06,8.39,19.98,0.0,36.75
hsa-miR-30d-3p,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.57,0.0,0.0,0.0,0.0
hsa-miR-30d-5p,70.84,21.97,0.0,0.0,1777.42,96.06,655.51,6.62,382.93,55.63,106.96,14.53,7.7,1445.02,0.0,86.59,28.21,161.69
hsa-miR-30e-3p,0.0,0.0,18.23,0.0,25.21,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,18.85,0.0,0.0,0.0,0.0
hsa-miR-30e-5p,10.9,0.0,0.0,0.0,327.75,18.01,116.08,0.0,19.64,0.0,0.0,4.84,7.7,326.7,16.77,6.66,0.0,36.75
hsa-miR-31-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.13,0.0,0.0,0.0,14.7
hsa-miR-3178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.82,0.0,7.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3182,0.0,0.0,0.0,0.0,18.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-320a-3p,0.0,43.93,173.22,0.0,94.54,72.04,54.63,13.23,29.46,15.89,0.0,0.0,15.41,0.0,0.0,0.0,35.26,22.05
hsa-miR-320b,10.9,0.0,27.35,19.88,75.63,0.0,61.45,0.0,49.09,23.84,57.05,67.81,53.93,12.57,50.32,66.61,35.26,29.4
hsa-miR-323b-3p,0.0,0.0,0.0,0.0,25.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-324-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-328-3p,0.0,0.0,0.0,0.0,18.91,0.0,6.83,0.0,29.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-331-3p,0.0,0.0,0.0,0.0,0.0,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-335-5p,0.0,0.0,0.0,0.0,12.61,0.0,0.0,0.0,0.0,0.0,7.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-338-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0
hsa-miR-339-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.46,7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-340-3p,0.0,0.0,0.0,0.0,0.0,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-340-5p,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,4.84,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-342-3p,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.57,0.0,0.0,0.0,0.0
hsa-miR-345-5p,0.0,21.97,0.0,0.0,18.91,0.0,47.8,0.0,9.82,0.0,0.0,0.0,0.0,18.85,0.0,0.0,0.0,0.0
hsa-miR-3605-3p,0.0,0.0,0.0,0.0,25.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-361-3p,0.0,0.0,0.0,0.0,18.91,6.0,0.0,0.0,19.64,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0
hsa-miR-361-5p,0.0,0.0,0.0,0.0,12.61,0.0,0.0,0.0,0.0,0.0,0.0,4.84,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3615,0.0,0.0,0.0,0.0,6.3,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,18.85,0.0,0.0,0.0,0.0
hsa-miR-362-5p,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3620-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35
hsa-miR-363-3p,0.0,0.0,0.0,0.0,56.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.41,0.0,0.0,0.0,0.0
hsa-miR-3665,10.9,43.93,18.23,0.0,214.3,78.05,95.6,39.69,147.28,0.0,0.0,4.84,0.0,69.11,444.48,26.64,275.07,0.0
hsa-miR-372-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35
hsa-miR-375-3p,10.9,0.0,0.0,0.0,50.42,0.0,0.0,0.0,0.0,39.74,0.0,0.0,0.0,81.68,0.0,0.0,0.0,0.0
