miRNA,DRR127191,DRR127193,DRR127195
hsa-miR-142-3p,4.0,8.0,0.0
hsa-miR-142-5p,11.0,4018.0,10.0
hsa-miR-143-3p,111.0,475.0,48.0
hsa-miR-144-3p,0.0,16.0,0.0
hsa-miR-144-5p,0.0,2.0,0.0
hsa-miR-145-5p,0.0,1.0,0.0
hsa-miR-146a-5p,0.0,1.0,52.0
hsa-miR-146b-3p,0.0,2.0,0.0
hsa-miR-146b-5p,3.0,7.0,16.0
hsa-miR-148a-3p,93.0,321.0,1618.0
hsa-miR-148a-5p,3.0,2.0,56.0
hsa-miR-148b-3p,0.0,9.0,0.0
hsa-miR-148b-5p,0.0,3.0,0.0
hsa-miR-149-5p,2.0,2.0,0.0
hsa-miR-150-5p,2.0,14.0,13.0
hsa-miR-151a-3p,6.0,149.0,0.0
hsa-miR-151a-5p,8.0,142.0,3.0
hsa-miR-151b,0.0,14.0,0.0
hsa-miR-152-3p,1.0,7.0,0.0
hsa-miR-155-5p,0.0,1.0,136.0
hsa-miR-15a-5p,3.0,274.0,0.0
hsa-miR-15b-3p,0.0,9.0,0.0
hsa-miR-15b-5p,0.0,40.0,0.0
hsa-miR-16-2-3p,0.0,16.0,1.0
hsa-miR-16-5p,18.0,1184.0,36.0
hsa-miR-17-3p,0.0,14.0,0.0
hsa-miR-17-5p,5.0,51.0,4.0
hsa-miR-181a-2-3p,0.0,0.0,218.0
hsa-miR-181a-3p,17.0,9.0,28.0
hsa-miR-181a-5p,208.0,1875.0,1547.0
hsa-miR-181b-5p,393.0,115.0,1102.0
hsa-miR-181c-3p,0.0,0.0,1.0
hsa-miR-181c-5p,0.0,3.0,0.0
hsa-miR-181d-5p,12.0,5.0,0.0
hsa-miR-182-5p,333.0,209.0,2773.0
hsa-miR-183-3p,0.0,1.0,0.0
hsa-miR-183-5p,0.0,5.0,23.0
hsa-miR-184,9.0,1.0,14.0
hsa-miR-1843,2.0,5.0,2.0
hsa-miR-185-5p,4.0,3.0,0.0
hsa-miR-186-5p,28.0,1249.0,1.0
hsa-miR-187-3p,0.0,2.0,0.0
hsa-miR-18a-3p,0.0,2.0,0.0
hsa-miR-18a-5p,0.0,6.0,0.0
hsa-miR-18b-5p,0.0,6.0,0.0
hsa-miR-190b-5p,3.0,0.0,0.0
hsa-miR-191-3p,0.0,2.0,0.0
hsa-miR-191-5p,113.0,1120.0,1086.0
hsa-miR-192-5p,3.0,148.0,13.0
hsa-miR-193a-5p,2.0,0.0,0.0
hsa-miR-193b-3p,1.0,11.0,0.0
hsa-miR-193b-5p,0.0,4.0,0.0
hsa-miR-194-5p,0.0,2.0,0.0
hsa-miR-197-3p,0.0,23.0,0.0
hsa-miR-197-5p,0.0,1.0,0.0
hsa-miR-199a-3p,0.0,20.0,0.0
hsa-miR-199a-5p,0.0,5.0,0.0
hsa-miR-199b-3p,0.0,14.0,0.0
hsa-miR-199b-5p,0.0,2.0,0.0
hsa-miR-19a-3p,0.0,25.0,0.0
hsa-miR-19a-5p,0.0,1.0,0.0
hsa-miR-19b-3p,5.0,41.0,38.0
hsa-miR-203a-3p,3.0,2.0,23.0
hsa-miR-204-5p,0.0,2.0,0.0
hsa-miR-205-5p,2.0,10.0,0.0
hsa-miR-20a-5p,1.0,35.0,0.0
hsa-miR-21-3p,69.0,84.0,38.0
hsa-miR-21-5p,7.0,527.0,83.0
hsa-miR-210-3p,20.0,45.0,11.0
hsa-miR-2116-3p,0.0,1.0,0.0
hsa-miR-215-5p,0.0,5.0,0.0
hsa-miR-22-3p,6.0,411.0,36.0
hsa-miR-221-3p,0.0,10.0,0.0
hsa-miR-222-3p,0.0,2.0,0.0
hsa-miR-223-3p,0.0,8.0,0.0
hsa-miR-224-5p,0.0,1.0,0.0
hsa-miR-23a-3p,0.0,48.0,0.0
hsa-miR-23b-3p,0.0,18.0,0.0
hsa-miR-24-3p,1.0,2.0,0.0
hsa-miR-25-3p,560.0,457.0,695.0
hsa-miR-25-5p,0.0,2.0,24.0
hsa-miR-26a-5p,6.0,503.0,30.0
hsa-miR-26b-5p,4.0,82.0,0.0
hsa-miR-27a-3p,0.0,16.0,0.0
hsa-miR-27b-3p,15.0,721.0,70.0
hsa-miR-27b-5p,1.0,0.0,0.0
hsa-miR-28-3p,289.0,698.0,5.0
hsa-miR-28-5p,0.0,26.0,1.0
hsa-miR-296-3p,10.0,7.0,1.0
hsa-miR-296-5p,0.0,2.0,0.0
hsa-miR-29a-3p,0.0,58.0,0.0
hsa-miR-29b-3p,0.0,2.0,0.0
hsa-miR-29c-3p,0.0,2.0,0.0
hsa-miR-301a-3p,0.0,41.0,0.0
hsa-miR-301b-3p,2.0,10.0,0.0
hsa-miR-3074-5p,0.0,2.0,0.0
hsa-miR-30a-3p,8.0,2.0,0.0
hsa-miR-30a-5p,7.0,65.0,0.0
hsa-miR-30b-5p,6.0,24.0,0.0
hsa-miR-30c-5p,2.0,77.0,0.0
hsa-miR-30d-3p,3.0,8.0,0.0
hsa-miR-30d-5p,24.0,503.0,332.0
hsa-miR-30e-3p,70.0,7.0,115.0
hsa-miR-30e-5p,18.0,667.0,29.0
hsa-miR-3125,0.0,2.0,0.0
hsa-miR-3127-5p,5.0,2.0,0.0
hsa-miR-3157-5p,0.0,1.0,0.0
hsa-miR-3158-3p,0.0,1.0,0.0
hsa-miR-3176,0.0,1.0,0.0
hsa-miR-3182,0.0,8.0,10.0
hsa-miR-3194-5p,2.0,0.0,0.0
hsa-miR-3196,0.0,0.0,28.0
hsa-miR-32-5p,0.0,29.0,0.0
hsa-miR-320a-3p,69.0,44.0,146.0
hsa-miR-320a-5p,0.0,1.0,0.0
hsa-miR-320b,21.0,29.0,0.0
hsa-miR-320c,0.0,3.0,0.0
hsa-miR-320d,0.0,1.0,0.0
hsa-miR-324-3p,0.0,14.0,0.0
hsa-miR-324-5p,0.0,5.0,0.0
hsa-miR-326,0.0,2.0,0.0
hsa-miR-328-3p,0.0,6.0,0.0
hsa-miR-330-3p,0.0,2.0,0.0
hsa-miR-330-5p,0.0,9.0,0.0
hsa-miR-331-5p,0.0,4.0,0.0
hsa-miR-338-3p,0.0,1.0,0.0
hsa-miR-339-3p,3.0,11.0,2.0
hsa-miR-339-5p,0.0,5.0,7.0
hsa-miR-33a-3p,0.0,1.0,0.0
hsa-miR-33a-5p,0.0,4.0,0.0
hsa-miR-33b-3p,0.0,2.0,0.0
hsa-miR-33b-5p,0.0,8.0,0.0
hsa-miR-340-5p,3.0,2.0,0.0
hsa-miR-342-3p,0.0,4.0,19.0
hsa-miR-345-5p,2.0,14.0,1.0
hsa-miR-361-3p,0.0,10.0,0.0
hsa-miR-361-5p,0.0,9.0,0.0
hsa-miR-3615,0.0,8.0,0.0
hsa-miR-362-3p,0.0,1.0,0.0
hsa-miR-365a-3p,0.0,2.0,0.0
hsa-miR-365a-5p,0.0,1.0,24.0
hsa-miR-365b-3p,0.0,2.0,0.0
hsa-miR-3661,3.0,0.0,0.0
hsa-miR-3665,1.0,1.0,96.0
hsa-miR-3681-5p,0.0,2.0,0.0
hsa-miR-369-3p,1.0,15.0,0.0
hsa-miR-3691-5p,7.0,4.0,1.0
hsa-miR-374a-3p,0.0,1.0,0.0
hsa-miR-376b-3p,0.0,1.0,0.0
hsa-miR-378a-3p,418.0,1169.0,836.0
hsa-miR-378a-5p,0.0,1.0,0.0
hsa-miR-378c,11.0,162.0,0.0
hsa-miR-378d,1.0,33.0,16.0
hsa-miR-378e,10.0,29.0,0.0
hsa-miR-378i,0.0,1.0,0.0
hsa-miR-379-5p,0.0,1.0,0.0
hsa-miR-381-3p,2.0,15.0,0.0
hsa-miR-383-5p,0.0,1.0,0.0
hsa-miR-3934-5p,0.0,1.0,0.0
hsa-miR-3940-3p,0.0,1.0,0.0
hsa-miR-3944-3p,0.0,1.0,0.0
hsa-miR-3960,0.0,3.0,45.0
hsa-miR-409-3p,4.0,24.0,15.0
hsa-miR-410-3p,7.0,29.0,0.0
hsa-miR-411-3p,0.0,1.0,0.0
hsa-miR-411-5p,1.0,91.0,0.0
hsa-miR-412-5p,8.0,1.0,10.0
hsa-miR-421,0.0,16.0,0.0
hsa-miR-423-3p,58.0,201.0,74.0
hsa-miR-423-5p,2.0,77.0,765.0
hsa-miR-424-3p,0.0,1.0,0.0
hsa-miR-425-3p,2.0,2.0,0.0
hsa-miR-425-5p,3.0,120.0,0.0
hsa-miR-432-5p,25.0,2.0,0.0
hsa-miR-4326,0.0,2.0,0.0
hsa-miR-433-3p,0.0,1.0,0.0
hsa-miR-4421,0.0,4.0,0.0
hsa-miR-4426,0.0,1.0,0.0
hsa-miR-4466,0.0,1.0,0.0
hsa-miR-4474-3p,3.0,0.0,0.0
hsa-miR-4476,1.0,0.0,0.0
hsa-miR-4482-3p,0.0,3.0,0.0
hsa-miR-4485-3p,0.0,3.0,0.0
hsa-miR-4485-5p,0.0,2.0,0.0
hsa-miR-4488,0.0,0.0,1.0
hsa-miR-4491,1.0,0.0,0.0
hsa-miR-4492,0.0,3.0,36.0
hsa-miR-449b-5p,0.0,1.0,0.0
hsa-miR-4508,0.0,0.0,3.0
hsa-miR-450a-5p,0.0,2.0,0.0
hsa-miR-450b-5p,0.0,1.0,0.0
hsa-miR-4513,0.0,1.0,0.0
hsa-miR-4516,3.0,0.0,64.0
hsa-miR-451a,2.0,72.0,1.0
hsa-miR-4538,0.0,1.0,0.0
hsa-miR-454-3p,0.0,1.0,0.0
hsa-miR-454-5p,3.0,1.0,0.0
hsa-miR-455-5p,0.0,5.0,0.0
hsa-miR-4677-3p,4.0,2.0,17.0
hsa-miR-4687-3p,0.0,1.0,0.0
hsa-miR-4703-3p,0.0,1.0,0.0
hsa-miR-4734,0.0,1.0,0.0
hsa-miR-4745-3p,0.0,1.0,0.0
hsa-miR-4746-5p,0.0,1.0,0.0
hsa-miR-4762-5p,0.0,1.0,0.0
hsa-miR-4767,0.0,1.0,0.0
hsa-miR-4800-3p,0.0,0.0,1.0
hsa-miR-484,1.0,33.0,0.0
hsa-miR-486-3p,0.0,12.0,0.0
hsa-miR-486-5p,34.0,30.0,2799.0
hsa-miR-487b-3p,0.0,3.0,0.0
hsa-miR-493-3p,0.0,2.0,0.0
hsa-miR-493-5p,0.0,11.0,0.0
hsa-miR-494-3p,5.0,5.0,0.0
hsa-miR-497-5p,0.0,2.0,0.0
hsa-miR-5001-3p,0.0,3.0,0.0
hsa-miR-500a-3p,0.0,1.0,0.0
hsa-miR-500a-5p,0.0,1.0,0.0
hsa-miR-5010-5p,0.0,0.0,4.0
hsa-miR-502-3p,0.0,4.0,0.0
hsa-miR-505-3p,0.0,8.0,0.0
hsa-miR-5091,0.0,0.0,1.0
hsa-miR-5094,0.0,1.0,0.0
hsa-miR-532-3p,0.0,1.0,0.0
hsa-miR-532-5p,1.0,26.0,4.0
hsa-miR-541-5p,1.0,0.0,0.0
hsa-miR-543,0.0,1.0,0.0
hsa-miR-548bc,0.0,1.0,0.0
hsa-miR-548c-5p,0.0,1.0,0.0
hsa-miR-548o-3p,0.0,2.0,0.0
hsa-miR-5696,0.0,1.0,0.0
hsa-miR-570-3p,0.0,1.0,0.0
hsa-miR-574-3p,0.0,1.0,0.0
hsa-miR-574-5p,0.0,1.0,8.0
hsa-miR-576-5p,0.0,1.0,0.0
hsa-miR-577,51.0,13.0,4.0
hsa-miR-582-3p,3.0,1.0,1.0
hsa-miR-582-5p,0.0,1.0,0.0
hsa-miR-589-3p,0.0,2.0,0.0
hsa-miR-589-5p,4.0,15.0,0.0
hsa-miR-598-3p,7.0,8.0,0.0
hsa-miR-619-5p,0.0,1.0,0.0
hsa-miR-625-5p,0.0,1.0,0.0
hsa-miR-627-5p,0.0,1.0,0.0
hsa-miR-628-3p,0.0,1.0,0.0
hsa-miR-629-3p,0.0,1.0,0.0
hsa-miR-629-5p,15.0,8.0,7.0
hsa-miR-641,0.0,1.0,0.0
hsa-miR-643,0.0,1.0,0.0
hsa-miR-651-5p,0.0,2.0,0.0
hsa-miR-6511b-5p,0.0,0.0,12.0
hsa-miR-652-3p,0.0,6.0,0.0
hsa-miR-6529-5p,1.0,7.0,8.0
hsa-miR-660-5p,0.0,9.0,14.0
hsa-miR-671-3p,0.0,2.0,25.0
hsa-miR-6728-5p,0.0,0.0,23.0
hsa-miR-676-3p,0.0,1.0,0.0
hsa-miR-6805-5p,0.0,0.0,15.0
hsa-miR-6840-5p,0.0,1.0,0.0
hsa-miR-6842-3p,1.0,2.0,0.0
hsa-miR-7-1-3p,0.0,1.0,0.0
hsa-miR-7110-3p,0.0,0.0,6.0
hsa-miR-7151-3p,1.0,1.0,0.0
hsa-miR-744-5p,9.0,5.0,19.0
hsa-miR-760,4.0,1.0,0.0
hsa-miR-766-3p,0.0,1.0,3.0
hsa-miR-769-5p,2.0,54.0,37.0
hsa-miR-7704,0.0,0.0,17.0
hsa-miR-7706,4.0,17.0,18.0
hsa-miR-7974,0.0,0.0,2.0
hsa-miR-874-3p,1.0,2.0,13.0
hsa-miR-874-5p,0.0,1.0,0.0
hsa-miR-9-5p,0.0,8.0,0.0
hsa-miR-92a-1-5p,1.0,1.0,36.0
hsa-miR-92a-3p,4487.0,2927.0,14289.0
hsa-miR-92b-3p,1.0,3.0,1.0
hsa-miR-93-3p,0.0,2.0,0.0
hsa-miR-93-5p,20.0,337.0,27.0
hsa-miR-937-3p,1.0,0.0,0.0
hsa-miR-940,3.0,0.0,0.0
hsa-miR-941,0.0,8.0,0.0
hsa-miR-942-5p,0.0,2.0,0.0
hsa-miR-96-5p,0.0,1.0,0.0
hsa-miR-98-5p,7.0,23.0,0.0
hsa-miR-9985,0.0,0.0,32.0
hsa-miR-99a-5p,0.0,3.0,50.0
hsa-miR-99b-3p,2.0,2.0,0.0
hsa-miR-99b-5p,0.0,35.0,0.0
hsa-mir-12136-5p,6.0,7.0,0.0
hsa-mir-1273c-5p,0.0,4.0,0.0
hsa-mir-2110-5p,4.0,0.0,0.0
hsa-mir-3135b-5p,0.0,0.0,14.0
hsa-mir-3648-1-5p,1.0,0.0,0.0
hsa-mir-4741-3p,0.0,0.0,1.0
hsa-mir-6165-5p,1.0,0.0,0.0
hsa-mir-636-3p,0.0,1.0,0.0
hsa-mir-639-3p,0.0,0.0,8.0
hsa-mir-663a-5p,0.0,1.0,0.0
hsa-mir-8086-5p,0.0,1.0,0.0
