miRNA,ERR5056743,ERR5056744,ERR5056745,ERR5056746,ERR5056747,ERR5056748,ERR5056749,ERR5056750,ERR5056751,ERR5056752,ERR5056753,ERR5056754,ERR5056755,ERR5056756,ERR5056757,ERR5056758,ERR5056759,ERR5056760
hsa-miR-130b-5p,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135a-5p,0.0,0.0,0.0,7.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135b-5p,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-139-5p,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63,0.0,0.0,0.0,0.0,12.27
hsa-miR-140-3p,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,7.8,6.91,0.0,0.0,5.31,13.62,17.9,10.68,36.0,36.81
hsa-miR-142-3p,3.94,8.2,14.28,49.72,2.26,1.78,0.0,7.93,15.6,34.53,12.46,33.22,10.63,81.69,13.42,21.36,64.81,122.7
hsa-miR-142-5p,1.97,45.1,53.55,64.64,30.47,1.78,98.25,6.61,7.8,34.53,18.69,27.69,21.25,63.54,58.17,37.39,64.81,147.24
hsa-miR-143-3p,0.0,0.0,0.0,4.97,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0
hsa-miR-144-3p,0.0,2.05,0.0,14.92,0.0,0.0,3.39,0.0,0.0,13.81,12.46,33.22,0.0,27.23,13.42,21.36,28.8,30.68
hsa-miR-144-5p,0.0,2.05,0.0,7.46,4.51,0.0,6.78,3.97,85.8,6.91,18.69,16.61,0.0,13.62,26.85,5.34,79.21,116.57
hsa-miR-145-5p,0.0,2.05,0.0,0.0,0.0,0.0,0.0,5.29,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0
hsa-miR-146a-5p,0.0,18.45,3.57,7.46,3.39,0.0,47.43,2.64,0.0,13.81,24.91,0.0,0.0,31.77,0.0,0.0,7.2,24.54
hsa-miR-146b-5p,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,11.07,0.0,13.62,0.0,0.0,7.2,0.0
hsa-miR-148b-3p,0.0,0.0,0.0,0.0,0.0,0.0,6.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-150-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.15,0.0,0.0,0.0,0.0
hsa-miR-150-5p,2.95,30.75,7.14,67.12,0.0,0.0,0.0,2.64,31.2,96.67,68.52,116.28,26.56,385.76,40.27,58.75,79.21,196.32
hsa-miR-151a-3p,0.0,41.0,21.42,9.94,9.03,3.56,81.31,1.32,62.4,13.81,24.91,99.67,53.13,54.46,67.12,53.41,72.01,116.57
hsa-miR-151a-5p,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0
hsa-miR-153-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-15b-3p,0.0,2.05,0.0,2.49,0.0,0.0,6.78,5.29,0.0,0.0,0.0,0.0,15.94,22.69,0.0,0.0,21.6,67.49
hsa-miR-15b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0
hsa-miR-16-2-3p,0.0,4.1,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,24.54
hsa-miR-16-5p,0.0,6.15,7.14,0.0,2.26,0.0,3.39,0.0,0.0,0.0,12.46,11.07,10.63,36.31,0.0,21.36,28.8,12.27
hsa-miR-17-5p,0.98,0.0,3.57,19.89,0.0,0.0,0.0,0.0,23.4,6.91,12.46,22.15,5.31,63.54,4.47,32.05,36.0,42.95
hsa-miR-181a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.62,0.0,5.34,0.0,0.0
hsa-miR-183-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,12.46,0.0,0.0,4.54,0.0,0.0,0.0,0.0
hsa-miR-185-5p,0.0,0.0,3.57,2.49,6.77,0.0,13.55,0.0,0.0,20.72,12.46,27.69,10.63,86.23,17.9,26.71,79.21,116.57
hsa-miR-186-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.27
hsa-miR-18a-3p,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1908-5p,0.98,0.0,0.0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-190a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,18.41
hsa-miR-191-5p,0.0,18.45,0.0,59.66,4.51,3.56,13.55,2.64,7.8,13.81,6.23,33.22,5.31,131.61,4.47,16.02,64.81,42.95
hsa-miR-192-5p,0.98,4.1,0.0,2.49,1.13,0.0,3.39,1.32,0.0,0.0,0.0,5.54,0.0,13.62,8.95,5.34,7.2,0.0
hsa-miR-193a-5p,10.83,0.0,0.0,0.0,0.0,0.0,0.0,3.97,0.0,0.0,0.0,0.0,5.31,0.0,0.0,0.0,0.0,6.14
hsa-miR-193b-5p,0.0,4.1,0.0,0.0,0.0,1.78,0.0,3.97,0.0,0.0,0.0,0.0,10.63,0.0,0.0,0.0,0.0,0.0
hsa-miR-194-5p,0.98,2.05,0.0,4.97,1.13,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-196a-1-3p,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-197-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0
hsa-miR-1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0
hsa-miR-199a-3p,0.0,4.1,0.0,0.0,2.26,0.0,6.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34,0.0,12.27
hsa-miR-199a-5p,0.98,0.0,0.0,0.0,0.0,0.0,3.39,1.32,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0
hsa-miR-199b-3p,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-19a-3p,0.0,12.3,3.57,24.86,1.13,0.0,16.94,1.32,0.0,20.72,6.23,5.54,0.0,40.85,22.37,0.0,7.2,42.95
hsa-miR-19b-3p,0.0,51.25,32.13,14.92,5.64,0.0,40.65,10.58,39.0,20.72,18.69,60.91,0.0,72.61,35.79,26.71,136.82,177.92
hsa-miR-200c-5p,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-202-3p,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-205-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0
hsa-miR-206,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-20a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.08,0.0,0.0,0.0,0.0
hsa-miR-20b-5p,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,13.81,6.23,0.0,0.0,0.0,0.0,0.0,21.6,12.27
hsa-miR-21-5p,0.0,14.35,0.0,0.0,5.64,0.0,20.33,3.97,15.6,20.72,0.0,0.0,21.25,9.08,0.0,5.34,0.0,18.41
hsa-miR-210-3p,0.0,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.08
hsa-miR-214-3p,0.0,4.1,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,5.54,0.0,9.08,0.0,0.0,0.0,6.14
hsa-miR-215-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.02,0.0,0.0
hsa-miR-22-3p,0.98,8.2,0.0,0.0,1.13,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,9.08,8.95,0.0,0.0,18.41
hsa-miR-22-5p,0.0,0.0,0.0,2.49,0.0,0.0,0.0,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-221-3p,0.0,24.6,7.14,2.49,2.26,0.0,0.0,1.32,7.8,6.91,6.23,5.54,0.0,4.54,0.0,0.0,0.0,0.0
hsa-miR-222-3p,0.0,0.0,0.0,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.08,0.0,0.0,0.0,0.0
hsa-miR-223-3p,2.95,47.15,21.42,44.75,18.05,0.0,27.1,14.54,0.0,20.72,0.0,11.07,26.56,45.38,26.85,48.07,43.21,30.68
hsa-miR-223-5p,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,0.0,0.0,0.0,0.0
hsa-miR-224-5p,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.68,0.0,12.27
hsa-miR-23a-3p,3.94,108.64,28.56,77.07,24.82,5.34,77.92,17.19,31.2,117.39,49.83,177.19,90.32,140.69,143.18,192.28,100.81,276.08
hsa-miR-23a-5p,0.0,0.0,0.0,0.0,3.39,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-23b-3p,0.0,6.15,0.0,17.4,0.0,3.56,10.16,6.61,15.6,20.72,18.69,55.37,5.31,36.31,76.06,48.07,57.61,67.49
hsa-miR-23b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0
hsa-miR-24-3p,1.97,45.1,24.99,34.8,22.57,5.34,98.25,10.58,15.6,6.91,0.0,33.22,5.31,54.46,26.85,10.68,43.21,18.41
hsa-miR-25-3p,5.91,98.39,60.69,57.18,31.59,5.34,135.51,35.7,132.6,276.21,186.86,254.71,185.95,499.22,214.77,304.44,583.27,1533.77
hsa-miR-26a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.54
hsa-miR-26a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14
hsa-miR-27a-3p,1.97,0.0,0.0,2.49,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-27b-3p,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-28-3p,0.98,12.3,0.0,2.49,2.26,0.0,0.0,0.0,0.0,0.0,0.0,5.54,0.0,4.54,0.0,10.68,0.0,0.0
hsa-miR-28-5p,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.95,0.0,0.0,0.0
hsa-miR-29a-3p,0.0,0.0,0.0,0.0,1.13,0.0,3.39,0.0,0.0,0.0,0.0,16.61,5.31,4.54,13.42,0.0,0.0,6.14
hsa-miR-29b-3p,0.0,0.0,0.0,0.0,2.26,0.0,0.0,0.0,7.8,0.0,0.0,16.61,0.0,18.15,4.47,10.68,57.61,24.54
hsa-miR-29c-3p,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,8.95,0.0,21.6,12.27
hsa-miR-301a-3p,0.0,0.0,0.0,4.97,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,4.54,4.47,0.0,0.0,12.27
hsa-miR-30a-3p,0.98,4.1,7.14,4.97,3.39,0.0,0.0,1.32,0.0,20.72,0.0,5.54,5.31,18.15,0.0,0.0,0.0,6.14
hsa-miR-30b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0
hsa-miR-30b-5p,0.0,0.0,0.0,7.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.07,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-30c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.81,0.0,5.54,0.0,0.0,0.0,0.0,0.0,18.41
hsa-miR-30d-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34,0.0,0.0
hsa-miR-30e-3p,0.98,0.0,0.0,9.94,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,15.94,13.62,0.0,5.34,7.2,42.95
hsa-miR-30e-5p,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0
hsa-miR-3151-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34,0.0,0.0
hsa-miR-3196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.08,0.0,0.0,0.0,0.0
hsa-miR-32-3p,0.0,0.0,0.0,7.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.27
hsa-miR-32-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.0
hsa-miR-320a-3p,0.0,2.05,0.0,0.0,0.0,0.0,13.55,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,5.34,0.0,0.0
hsa-miR-320b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54,0.0,9.08,0.0,0.0,7.2,0.0
hsa-miR-320d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0
hsa-miR-320e,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91,0.0,0.0,0.0,13.62,0.0,0.0,0.0,0.0
hsa-miR-323b-3p,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,5.54,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-324-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,6.14
hsa-miR-326,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-328-3p,0.0,4.1,0.0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.31,0.0,0.0,0.0,12.27
hsa-miR-330-3p,0.0,2.05,0.0,0.0,2.26,1.78,0.0,0.0,0.0,0.0,0.0,0.0,10.63,4.54,0.0,0.0,0.0,0.0
hsa-miR-331-3p,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54,0.0,4.54,0.0,0.0,0.0,0.0
hsa-miR-335-5p,0.98,2.05,7.14,2.49,1.13,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,16.02,0.0,0.0
hsa-miR-338-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0
hsa-miR-339-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.95,5.34,0.0,0.0
hsa-miR-33a-3p,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-33a-5p,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-340-3p,0.0,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-342-3p,1.97,8.2,0.0,32.32,3.39,3.56,3.39,0.0,7.8,82.86,12.46,44.3,26.56,118.0,17.9,42.73,64.81,98.16
hsa-miR-342-5p,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.27
hsa-miR-345-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.46,0.0,0.0,0.0,4.47,0.0,0.0,6.14
hsa-miR-34a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-361-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.62,0.0,0.0,0.0,12.27
hsa-miR-3613-3p,0.98,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,6.91,0.0,11.07,0.0,13.62,0.0,0.0,0.0,0.0
hsa-miR-3620-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0
hsa-miR-363-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.62,0.0,0.0,0.0,6.14
hsa-miR-3648,14.77,0.0,0.0,0.0,0.0,23.15,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-369-3p,0.0,0.0,0.0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-374a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34,14.4,0.0
hsa-miR-374b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,0.0,0.0
hsa-miR-376c-3p,0.0,0.0,3.57,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14
hsa-miR-377-3p,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-378a-3p,0.98,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,10.63,0.0,0.0,0.0,7.2,6.14
hsa-miR-382-5p,0.0,0.0,0.0,0.0,0.0,0.0,23.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3916,0.98,2.05,0.0,0.0,2.26,3.56,0.0,1.32,0.0,6.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3929,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3940-3p,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
