miRNA,GSM6111769,GSM6111767,GSM6111765,GSM6111763,GSM6111762,GSM6111758,GSM6111757,GSM6111754,GSM6111753,GSM6111752,GSM6111750,GSM6111749,GSM6111748,GSM6111747,GSM6111745,GSM6111744,GSM6111743
hsa-miR-139-3p,12.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.03,0.0
hsa-miR-140-5p,8.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.71,0.0
hsa-miR-141-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.29,0.0,12.02,2.69,0.0,0.0,19.47
hsa-miR-142-3p,154.15,73.08,124.15,86.97,97.15,70.86,18.01,164.03,0.0,112.51,32.29,216.48,33.65,280.2,130.65,540.48,450.26
hsa-miR-142-5p,8.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61,0.0,0.0,0.0,22.06,0.0
hsa-miR-143-3p,8.22,23.25,21.91,3.0,0.0,2.15,0.0,5.74,0.0,4.79,16.15,0.0,0.0,5.39,10.45,3.68,7.3
hsa-miR-144-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-145-5p,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,25.83,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-146a-5p,0.0,14.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-151a-3p,0.0,2.21,0.0,0.0,0.0,2.15,0.0,0.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-152-3p,90.44,21.04,94.94,12.0,30.91,30.06,36.02,0.0,127.9,13.17,129.17,29.94,7.21,61.97,148.94,120.11,7.3
hsa-miR-152-5p,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-15a-5p,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-16-5p,45.22,86.37,153.36,0.0,13.25,94.47,7.72,18.35,11.63,16.76,9.69,6.91,12.02,35.03,36.58,87.02,38.94
hsa-miR-17-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-17-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0
hsa-miR-181a-2-3p,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181a-5p,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181b-5p,2.06,21.04,36.52,0.0,17.66,6.44,0.0,0.0,0.0,4.79,32.29,0.0,0.0,16.17,57.49,30.64,0.0
hsa-miR-181d-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,0.0,20.9,0.0,0.0
hsa-miR-184,0.0,0.0,0.0,0.0,22.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-18a-3p,0.0,19.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1908-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.86,0.0,0.0,0.0
hsa-miR-191-5p,0.0,0.0,7.3,0.0,0.0,12.88,0.0,5.74,0.0,1.2,0.0,0.0,4.81,0.0,10.45,0.0,0.0
hsa-miR-193a-5p,0.0,1.11,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-196b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-197-5p,0.0,0.0,0.0,20.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-199a-3p,0.0,15.5,7.3,0.0,13.25,30.06,7.72,6.88,0.0,9.58,6.46,0.0,0.0,18.86,41.81,23.29,0.0
hsa-miR-199b-3p,6.17,18.82,21.91,3.0,0.0,0.0,12.86,0.0,8.72,0.0,0.0,0.0,0.0,5.39,0.0,9.8,0.0
hsa-miR-200a-3p,0.0,0.0,0.0,68.97,4.42,34.35,0.0,49.33,0.0,2.39,0.0,0.0,43.27,10.78,23.52,0.0,0.0
hsa-miR-200c-3p,0.0,0.0,0.0,35.99,4.42,21.47,18.01,14.91,0.0,0.0,25.83,32.24,31.25,0.0,0.0,0.0,0.0
hsa-miR-204-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,0.0
hsa-miR-206,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,3.59,6.46,4.61,0.0,8.08,0.0,0.0,0.0
hsa-miR-21-5p,2.06,37.65,14.61,0.0,4.42,4.29,0.0,3.44,2.91,5.98,3.23,0.0,2.4,32.33,2.61,25.74,0.0
hsa-miR-217-5p,16.44,0.0,0.0,0.0,0.0,0.0,0.0,14.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-218-5p,6.17,21.04,7.3,0.0,0.0,8.59,0.0,0.0,0.0,2.39,6.46,0.0,0.0,0.0,28.74,13.48,7.3
hsa-miR-221-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81,4.79,0.0,0.0,0.0,10.78,5.23,1.23,0.0
hsa-miR-222-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-223-3p,4.11,4.43,0.0,0.0,4.42,2.15,0.0,0.0,0.0,7.18,9.69,9.21,0.0,16.17,0.0,15.93,0.0
hsa-miR-223-5p,6.17,0.0,0.0,0.0,0.0,0.0,0.0,10.32,0.0,0.0,0.0,0.0,9.61,0.0,0.0,0.0,0.0
hsa-miR-224-5p,0.0,0.0,0.0,0.0,0.0,10.74,0.0,0.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-23a-3p,191.15,494.95,817.94,206.92,66.24,180.36,46.31,169.77,133.71,193.9,419.79,29.94,40.86,326.0,261.3,368.9,90.05
hsa-miR-24-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39,0.0,0.0,0.0
hsa-miR-25-3p,0.0,0.0,0.0,0.0,0.0,8.59,0.0,0.0,0.0,0.0,3.23,0.0,9.61,2.69,7.84,0.0,0.0
hsa-miR-26b-5p,0.0,0.0,0.0,0.0,0.0,8.59,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-27a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.51,0.0
hsa-miR-27b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-28-3p,14.39,31.0,87.64,0.0,0.0,42.94,18.01,21.79,37.79,23.94,38.75,0.0,0.0,78.13,36.58,25.74,2.43
hsa-miR-296-3p,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-302b-3p,0.0,0.0,0.0,0.0,0.0,0.0,7.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-30a-5p,0.0,0.0,0.0,0.0,0.0,4.29,0.0,0.0,26.16,0.0,19.37,0.0,0.0,0.0,10.45,0.0,0.0
hsa-miR-30d-5p,0.0,0.0,36.52,0.0,0.0,0.0,0.0,0.0,14.53,0.0,6.46,0.0,0.0,2.69,18.29,20.83,0.0
hsa-miR-30e-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,0.0,6.91,0.0,0.0,0.0,0.0,0.0
hsa-miR-31-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.62,0.0,0.0,0.0,0.0,0.0,10.78,0.0,0.0,0.0
hsa-miR-3147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0
hsa-miR-3180-3p,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.21,0.0,0.0,0.0,0.0
hsa-miR-3182,8.22,0.0,116.85,0.0,52.99,113.8,25.73,18.35,46.51,9.58,3.23,16.12,16.83,37.72,117.59,85.79,0.0
hsa-miR-320a-3p,135.66,424.08,496.61,47.98,61.82,135.27,72.04,103.24,61.04,134.06,193.75,0.0,2.4,239.79,326.63,438.76,63.28
hsa-miR-320a-5p,4.11,0.0,7.3,0.0,8.83,21.47,0.0,28.68,0.0,67.03,64.58,6.91,9.61,102.38,23.52,0.0,0.0
hsa-miR-320b,2.06,64.22,0.0,0.0,0.0,8.59,0.0,44.74,5.81,3.59,3.23,18.42,31.25,18.86,20.9,23.29,0.0
hsa-miR-320c,8.22,0.0,14.61,0.0,0.0,0.0,0.0,0.0,0.0,9.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-320d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-320e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.83,0.0,14.42,13.47,0.0,0.0,0.0
hsa-miR-324-3p,0.0,0.0,0.0,0.0,8.83,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.07,19.61,0.0
hsa-miR-324-5p,0.0,22.15,21.91,0.0,0.0,0.0,0.0,0.0,0.0,1.2,12.92,0.0,0.0,13.47,0.0,0.0,0.0
hsa-miR-328-5p,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-330-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0
hsa-miR-337-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.78,0.0,0.0,7.3
hsa-miR-338-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,0.0,0.0
hsa-miR-342-3p,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,6.46,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-34a-5p,0.0,0.0,0.0,0.0,0.0,0.0,18.01,0.0,0.0,0.0,0.0,0.0,9.61,0.0,0.0,0.0,0.0
hsa-miR-3619-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.78,0.0,0.0,0.0
hsa-miR-3646,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.29,0.0,0.0
hsa-miR-3665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.01,0.0,77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3682-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,10.78,0.0,0.0,0.0
hsa-miR-369-5p,0.0,12.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3692-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.04,0.0,0.0,15.93,0.0
hsa-miR-370-3p,6.17,21.04,7.3,26.99,4.42,10.74,0.0,45.88,2.91,1.2,32.29,0.0,0.0,26.94,23.52,14.71,0.0
hsa-miR-3916,0.0,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3940-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39,0.0,0.0,0.0
hsa-miR-3960,0.0,0.0,0.0,0.0,0.0,4.29,0.0,466.87,0.0,201.08,0.0,0.0,0.0,5.39,7.84,24.51,0.0
hsa-miR-412-5p,0.0,0.0,0.0,0.0,0.0,0.0,10.29,0.0,0.0,1.2,0.0,0.0,0.0,5.39,0.0,0.0,4.87
hsa-miR-424-5p,0.0,0.0,0.0,0.0,0.0,10.74,0.0,0.0,0.0,0.0,0.0,0.0,7.21,2.69,0.0,0.0,0.0
hsa-miR-429,6.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-432-5p,310.36,1491.48,2453.83,125.95,220.79,283.42,301.03,1270.98,1342.92,720.55,968.74,94.42,50.48,1516.87,107.13,816.24,109.52
hsa-miR-433-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.08,0.0,0.0,0.0
hsa-miR-4488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-449c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4516,0.0,0.0,0.0,0.0,4.42,0.0,0.0,17.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-451a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,0.0,0.0,0.0,2.69,0.0,0.0,4.87
hsa-miR-4655-5p,16.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74
hsa-miR-4793-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,0.0,0.0,0.0,0.0
hsa-miR-483-5p,10.28,0.0,43.82,0.0,0.0,25.77,18.01,0.0,0.0,0.0,138.85,0.0,0.0,26.94,20.9,0.0,0.0
hsa-miR-485-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-494-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.19,0.0
hsa-miR-496,10.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-503-5p,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5187-5p,0.0,0.0,7.3,0.0,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-518a-3p,0.0,0.0,0.0,0.0,0.0,0.0,18.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-541-5p,0.0,0.0,0.0,0.0,0.0,0.0,15.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-542-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ap-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.29,0.0,0.0
hsa-miR-548f-3p,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.82,0.0,0.0,0.0,0.0,0.0
hsa-miR-5583-3p,0.0,0.0,0.0,0.0,0.0,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5588-5p,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-564,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.26,0.0
hsa-miR-574-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-584-5p,2.06,0.0,7.3,0.0,4.42,4.29,7.72,1.15,0.0,4.79,0.0,0.0,0.0,5.39,18.29,0.0,0.0
hsa-miR-628-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.38,0.0
hsa-miR-629-5p,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0
hsa-miR-664a-3p,0.0,0.0,0.0,0.0,0.0,10.74,0.0,0.0,11.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-664a-5p,10.28,37.65,14.61,3.0,17.66,0.0,0.0,11.47,0.0,9.58,48.44,9.21,0.0,5.39,7.84,31.87,0.0
hsa-miR-671-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.91,0.0,0.0,0.0,0.0,0.0,5.39,0.0,0.0,0.0
hsa-miR-6736-5p,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6753-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,0.0,3.23,2.3,0.0,0.0,0.0,0.0,0.0
hsa-miR-6767-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0
hsa-miR-6825-5p,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-708-5p,18.5,107.4,29.21,0.0,4.42,8.59,7.72,19.5,14.53,8.38,0.0,0.0,0.0,43.11,0.0,0.0,0.0
hsa-miR-7110-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.68,0.0,0.0
hsa-miR-744-5p,6.17,0.0,0.0,0.0,0.0,6.44,0.0,27.53,43.6,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0
hsa-miR-766-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.71,0.0
hsa-miR-769-3p,0.0,12.18,14.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-7704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-92a-3p,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,23.25,4.79,12.92,0.0,2.4,0.0,0.0,0.0,12.17
hsa-miR-92b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-93-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0
hsa-mir-10522-5p,100.71,16.61,36.52,0.0,0.0,0.0,41.17,0.0,0.0,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1273c-5p,0.0,12.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-298-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.25,0.0,0.0,0.0,9.61,0.0,0.0,0.0,0.0
hsa-mir-3159-5p,4.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3648-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4460-5p,12.33,0.0,0.0,0.0,8.83,0.0,0.0,0.0,26.16,0.0,38.75,0.0,0.0,35.03,0.0,0.0,14.6
hsa-mir-4518-3p,0.0,0.0,0.0,0.0,0.0,10.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4801-3p,0.0,11.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-558-3p,0.0,0.0,0.0,0.0,8.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74
hsa-mir-8086-5p,0.0,0.0,0.0,0.0,0.0,6.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-8485-3p,0.0,0.0,0.0,0.0,4.42,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
