miRNA,ERR5918165,ERR5918166,ERR5918167,ERR5918168,ERR5918169,ERR5918170,ERR5918175,ERR5918178,ERR5918193,ERR5918198,ERR5918202,ERR5918203,ERR5918211,ERR5918218,ERR5918219,ERR5918220,ERR5918228,ERR5918233,ERR5918234,ERR5918237,ERR5918238,ERR5918239,ERR5918240,ERR5918241,ERR5918242,ERR5918243,ERR5918244,ERR5918245,ERR5918246,ERR5918247,ERR5918264,ERR5918265,ERR5918266,ERR5918267,ERR5918268,ERR5918269,ERR5918270,ERR5918271,ERR5918272,ERR5918273,ERR5918274,ERR5918275,ERR5918276,ERR5918277,ERR5918278,ERR5918279,ERR5918280,ERR5918281,ERR5918282,ERR5918283,ERR5918284,ERR5918285,ERR5918286,ERR5918287,ERR5918288,ERR5918289,ERR5918290,ERR5918298,ERR5918299,ERR5918300,ERR5918301,ERR5918302,ERR5918303,ERR5918304,ERR5918305,ERR5918306,ERR5918307,ERR5918308,ERR5918309,ERR5918310,ERR5918311,ERR5918312,ERR5918313,ERR5918314,ERR5918315,ERR5918318,ERR5918319,ERR5918320,ERR5918321,ERR5918322,ERR5918328,ERR5918329,ERR5918330,ERR5918331,ERR5918332,ERR5918333,ERR5918334,ERR5918335,ERR5918338,ERR5918339,ERR5918340,ERR5918341,ERR5918342,ERR5918345,ERR5918346,ERR5918347,ERR5918349,ERR5918350,ERR5918353,ERR5918354,ERR5918355,ERR5918357,ERR5918358,ERR5918359,ERR5918360,ERR5918361,ERR5918362,ERR5918363,ERR5918364,ERR5918367,ERR5918368,ERR5918369,ERR5918370,ERR5918163,ERR5918164,ERR5918171,ERR5918172,ERR5918173,ERR5918174,ERR5918176,ERR5918177,ERR5918179,ERR5918180,ERR5918181,ERR5918182,ERR5918183,ERR5918184,ERR5918185,ERR5918186,ERR5918187,ERR5918188,ERR5918189,ERR5918190,ERR5918191,ERR5918192,ERR5918194,ERR5918195,ERR5918196,ERR5918197,ERR5918199,ERR5918200,ERR5918201,ERR5918204,ERR5918205,ERR5918206,ERR5918207,ERR5918208,ERR5918209,ERR5918210,ERR5918212,ERR5918213,ERR5918214,ERR5918215,ERR5918216,ERR5918217,ERR5918221,ERR5918222,ERR5918223,ERR5918224,ERR5918225,ERR5918226,ERR5918227,ERR5918229,ERR5918230,ERR5918231,ERR5918232,ERR5918235,ERR5918236,ERR5918248,ERR5918249,ERR5918250,ERR5918251,ERR5918252,ERR5918253,ERR5918254,ERR5918255,ERR5918256,ERR5918257,ERR5918258,ERR5918259,ERR5918260,ERR5918261,ERR5918262,ERR5918263,ERR5918291,ERR5918292,ERR5918293,ERR5918294,ERR5918295,ERR5918296,ERR5918297,ERR5918316,ERR5918317,ERR5918323,ERR5918324,ERR5918325,ERR5918326,ERR5918327,ERR5918336,ERR5918337,ERR5918343,ERR5918344,ERR5918348,ERR5918351,ERR5918352,ERR5918356,ERR5918365,ERR5918366
hsa-miR-1827,0.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,0.0,0.0,0.0,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,0.0,2.48,0.0,0.0,0.0,0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,0.0,0.0
hsa-miR-183-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,1.22,2.02,1.18,0.0,0.0,0.0,0.0,0.15,0.0,0.3,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.15,13.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,8.05,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-183-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0,0.0,2.5,0.0,0.0,2.85,6.79,0.0,0.0,0.0,0.0,5.17,0.0,0.0,0.0,0.0,0.0,0.0,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,19.78,18.32,19.66,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27,0.0,5.68,158.36,158.39,7.02,7.69,10.31,5.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,6.67,6.86,3.37,8.49,9.87,0.0,0.0,0.0,0.0,26.92,36.56,0.0,0.0,0.0,25.25,29.51,7.19,14.5,7.09,2.9,0.0,0.0,0.0,0.0,0.0,0.0,8.83,0.0,8.67,0.0,0.0,15.16,3.92,0.0,3.78,0.0,0.0,0.0,0.0,0.0,0.0,2.58,8.08,10.15,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.83,4.72,11.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.47,13.42,18.82,13.13,2.76,0.0,0.0,0.0,0.0,0.0,0.0,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84,0.0,0.0,0.0,3.41,0.0,1.15,0.0,0.0,0.0,0.0,3.27,0.0,0.0,10.18,6.83,40.0,10.73,0.0,29.74,30.05,7.25,0.0,0.0
hsa-miR-184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.77,13.06,17.74,25.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,3.02,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1843,6.25,16.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.38,19.77,5.54,0.0,12.52,0.0,0.0,19.95,13.58,10.23,10.23,27.83,43.55,31.0,50.26,50.12,28.98,17.66,17.21,39.98,31.96,0.0,0.0,0.0,13.28,13.38,16.17,9.47,1.61,5.64,2.44,0.0,73.3,80.71,79.1,83.21,1.91,1.46,3.85,5.59,4.88,4.93,14.73,9.63,2.94,21.22,17.88,9.65,2.14,20.11,19.87,62.24,69.13,0.0,0.0,0.0,2.52,15.34,15.44,16.69,12.59,0.0,0.0,0.0,0.0,3.19,7.85,0.0,0.0,0.0,0.0,6.11,6.13,5.96,0.0,0.0,0.0,0.0,0.0,0.0,21.77,8.71,8.87,4.33,5.38,2.61,21.28,36.04,31.53,0.0,0.0,0.0,0.0,3.55,52.2,72.43,18.08,32.29,0.0,0.0,0.0,0.0,0.0,0.0,12.46,9.58,26.54,27.47,22.93,11.34,0.0,0.0,12.39,8.56,15.78,13.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.83,7.08,11.35,6.63,15.49,7.43,15.57,18.13,12.06,19.91,5.12,19.92,19.96,0.0,0.0,3.41,7.53,20.36,27.92,0.0,0.0,35.97,20.13,33.88,39.38,13.8,13.64,12.55,10.17,20.94,30.16,42.97,23.83,9.0,13.58,0.0,0.0,1.08,1.05,62.45,23.9,34.44,46.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,5.5,4.55,1.03,2.3,4.74,1.61,3.24,9.73,6.54,9.57,4.04,0.0,3.41,13.33,2.68,17.78,0.0,5.01,0.0,0.0,0.0
hsa-miR-185-3p,9.38,8.47,8.34,0.0,14.5,8.64,19.79,10.07,14.49,18.21,14.83,8.31,10.28,7.51,25.33,21.55,0.0,0.0,10.23,10.23,13.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.65,18.82,12.06,30.65,35.02,26.76,28.29,31.95,18.51,33.06,26.02,32.27,43.92,43.34,46.78,48.16,15.28,10.25,9.62,13.05,14.63,4.93,39.27,14.45,38.19,70.73,46.48,28.96,10.68,43.1,39.73,91.0,75.97,9.36,15.37,18.05,22.64,30.69,23.16,38.95,25.18,0.0,0.0,0.0,0.0,12.76,11.0,11.23,13.83,13.99,8.26,8.14,0.0,0.0,23.91,20.0,24.02,23.58,16.99,23.04,0.0,0.0,0.0,0.0,5.38,10.45,17.73,6.55,17.52,45.45,49.18,46.71,43.51,49.63,26.1,24.14,15.07,32.29,0.0,0.0,0.0,0.0,0.0,0.0,3.12,6.39,26.54,27.47,45.87,34.01,30.92,27.0,16.52,8.56,11.84,10.31,12.92,16.15,7.61,15.65,5.01,8.57,8.29,9.98,31.22,25.97,9.41,20.5,21.25,34.05,11.05,12.91,12.38,18.68,15.11,0.0,9.95,35.86,39.84,39.92,7.04,13.71,17.07,5.02,5.09,4.65,21.73,24.95,15.15,16.77,24.47,9.38,8.28,10.91,0.0,10.17,0.0,9.05,7.16,28.6,31.48,40.75,8.5,9.88,7.54,9.47,11.35,35.85,22.96,11.55,4.74,0.0,0.0,0.0,24.61,2.84,5.61,0.0,2.75,13.65,4.11,3.46,7.89,8.04,16.2,12.97,22.9,15.95,2.02,40.74,30.71,16.0,10.73,39.11,49.57,5.01,50.77,0.0,0.0
hsa-miR-185-5p,3.13,8.47,27.81,21.0,34.81,17.28,23.09,23.5,17.39,15.93,34.6,33.23,30.84,15.03,12.66,21.55,19.95,50.91,20.45,6.82,20.87,19.36,5.17,0.0,0.0,5.8,0.0,0.0,5.71,45.65,69.0,72.38,67.43,72.45,53.51,61.64,85.19,58.76,54.83,42.27,65.32,3183.51,3237.82,3210.51,3263.73,68.76,38.07,42.32,33.55,14.63,24.64,0.0,14.45,47.0,38.9,50.06,51.48,16.02,48.85,85.14,3183.83,3227.5,9.36,0.0,7.73,5.03,38.36,20.59,13.91,12.59,0.0,0.0,8.34,6.86,17.55,15.71,2.81,0.0,0.0,2.75,8.14,10.22,11.91,6.83,13.34,0.0,10.1,16.99,26.33,4.35,8.71,8.87,17.31,5.38,18.28,10.64,22.93,31.53,10.1,0.0,71.86,43.51,39.0,5.8,27.16,9.04,8.81,10.06,5.42,0.0,4.41,4.36,13.0,18.69,9.58,41.7,70.64,45.87,49.12,24.74,40.49,8.26,4.28,15.78,3.44,23.25,32.3,15.22,24.59,17.52,28.57,24.87,39.92,18.73,12.99,15.68,13.66,11.81,13.62,13.26,15.49,22.29,31.14,51.37,39.2,34.84,46.11,49.8,34.93,28.18,27.42,54.61,20.08,12.72,9.31,3.62,16.63,51.12,35.22,28.23,58.13,19.32,16.37,27.61,40.67,27.92,3.02,25.07,23.83,4.5,27.17,27.62,25.24,26.92,32.62,28.39,29.87,45.91,46.21,4.74,4.9,4.72,4.68,34.45,11.35,30.84,14.33,13.74,12.52,12.34,14.98,11.05,35.37,19.44,22.7,3.27,9.57,12.12,13.58,6.83,13.33,16.1,24.89,0.0,0.0,54.4,5.46,5.29
hsa-miR-186-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.38,0.0,13.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.45,8.51,5.05,8.28,11.27,14.51,8.94,14.95,3.05,2.76,4.02,5.13,3.82,4.39,7.69,7.45,0.0,0.0,0.0,0.0,2.94,14.15,14.3,9.65,6.41,5.75,11.35,0.79,0.76,18.72,10.25,15.47,12.58,48.59,41.18,61.21,42.81,0.0,0.0,0.0,0.0,6.38,9.42,2.81,2.77,5.6,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,0.0,4.35,0.0,13.3,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,0.0,15.11,0.0,0.0,20.65,12.84,3.95,3.44,0.0,2.69,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,14.17,0.0,0.0,5.16,2.48,9.34,3.02,18.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.25,18.45,13.17,16.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.02,8.41,0.0,8.25,5.69,3.09,2.3,11.05,24.12,9.72,9.73,6.54,9.57,0.0,3.39,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-186-5p,18.76,19.75,5.56,6.0,8.7,2.88,36.28,26.86,11.59,2.28,32.12,66.45,0.0,10.02,12.66,12.93,96.89,47.52,34.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,0.0,0.0,88.14,76.62,70.73,75.72,50.71,49.99,37.4,38.56,2455.59,2432.88,2444.08,2450.58,43.93,39.53,59.63,59.64,29.25,29.57,39.27,14.45,38.19,35.37,25.03,19.3,14.95,28.73,42.57,1441.43,1429.72,28.08,20.5,30.93,35.22,10.23,36.03,33.39,22.66,12.35,12.2,12.51,13.71,70.2,92.68,8.42,8.3,5.6,19.27,14.25,4.09,7.94,30.74,10.0,3.43,10.1,56.63,55.94,8.71,21.76,22.17,25.97,67.31,73.12,21.28,13.11,24.52,5.05,0.0,10.78,18.13,3.55,37.7,30.18,30.14,44.03,0.0,0.0,87.01,75.04,87.15,82.36,12.46,19.17,83.4,74.57,49.69,41.57,34.01,40.49,8.26,8.56,0.0,3.44,10.34,18.84,7.61,2.24,47.56,68.56,46.98,42.42,24.97,22.73,28.22,0.0,16.53,11.35,26.51,25.82,27.24,34.25,57.41,72.36,9.95,5.12,29.88,19.96,0.0,0.0,0.0,15.06,12.72,2.33,7.24,37.42,30.29,25.16,18.82,43.13,82.8,73.66,65.25,16.95,17.45,0.0,0.0,0.0,4.5,4.53,44.62,23.05,27.99,34.72,45.42,41.82,11.48,23.11,0.0,0.0,0.0,0.0,0.0,11.35,19.63,37.25,8.25,11.38,12.34,12.68,80.53,88.44,19.44,32.43,22.9,22.34,16.16,61.11,85.31,56.0,72.46,7.11,0.0,0.0,21.76,0.0,5.29
hsa-miR-187-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,2.33,0.89,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-187-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-188-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.15,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-188-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,0.6,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-18a-3p,37.52,16.93,27.81,21.0,29.01,31.67,36.28,30.21,28.98,36.41,39.54,19.38,0.0,10.02,8.44,12.93,14.25,20.36,23.86,85.25,114.8,33.87,46.5,75.39,45.1,0.0,0.0,0.0,0.0,36.52,25.09,30.16,42.91,45.88,60.81,39.41,56.79,66.8,86.27,58.53,66.89,9.31,6.69,8.19,8.69,28.65,36.6,44.24,37.27,112.14,59.15,63.81,38.53,61.69,77.81,103.69,86.87,37.38,43.1,51.09,12.61,8.36,32.76,35.87,28.36,37.73,0.0,2.57,2.78,2.52,24.7,32.53,29.2,44.57,12.76,21.99,5.61,24.89,16.79,19.27,40.72,71.51,53.61,3.42,3.33,10.29,6.74,42.47,26.33,8.71,17.41,13.3,25.97,53.85,67.89,35.47,26.21,49.05,0.0,0.0,25.15,36.25,24.82,17.4,12.07,9.04,5.87,0.0,0.0,21.75,52.97,8.71,8.67,18.69,15.97,102.35,54.95,38.22,30.23,12.37,27.0,24.78,47.07,59.18,37.79,43.93,29.61,27.9,49.18,10.01,22.85,13.82,29.94,21.85,35.71,18.81,66.04,40.14,45.41,30.93,41.31,42.09,15.57,0.0,18.09,19.91,35.86,4.98,0.0,0.0,0.0,0.0,30.12,20.36,20.94,10.87,16.63,18.93,13.42,11.29,13.13,8.28,2.73,5.02,37.28,38.39,57.3,107.43,23.83,9.0,27.17,14.87,14.27,26.92,12.63,17.03,5.97,11.48,17.33,37.89,39.2,18.88,14.05,44.3,28.37,16.82,22.92,21.99,34.14,42.18,49.55,17.37,16.08,12.96,25.94,16.36,25.53,38.37,20.37,20.48,50.66,61.73,35.55,0.0,0.0,18.13,0.0,0.0
