miRNA,SRR13849723,SRR13849724,SRR13849725,SRR13849728,SRR13849729,SRR13849730,SRR13849731
hsa-miR-21-5p,6.54,6.16,2.52,2.76,12.64,1.58,13.74
hsa-miR-210-3p,0.0,0.0,0.0,4.41,1.4,1.58,0.0
hsa-miR-2110,0.0,0.0,0.0,2.76,0.0,0.0,0.0
hsa-miR-215-5p,0.0,0.0,0.0,0.0,2.81,0.0,0.0
hsa-miR-217-5p,0.0,0.0,0.0,3.86,4.21,4.75,0.0
hsa-miR-218-5p,0.0,0.0,0.0,0.0,115.12,57.03,0.0
hsa-miR-219a-1-3p,0.0,0.0,0.0,0.55,0.0,0.0,0.0
hsa-miR-22-3p,0.0,0.0,0.0,0.0,21.06,0.0,0.0
hsa-miR-22-5p,0.0,0.0,0.0,0.0,12.64,0.0,0.0
hsa-miR-221-3p,32.71,6.16,20.15,3.86,8.42,0.0,28.74
hsa-miR-222-3p,0.0,0.0,0.0,2.76,7.02,0.0,0.0
hsa-miR-223-3p,19.63,249.17,133.49,163.83,85.64,91.88,16.24
hsa-miR-223-5p,0.0,9.68,85.64,69.5,16.85,0.0,32.49
hsa-miR-2277-3p,39.26,0.0,0.0,0.0,5.62,0.0,0.0
hsa-miR-2278,19.63,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-23a-3p,0.0,68.67,85.64,91.57,87.04,1.58,57.47
hsa-miR-23b-3p,0.0,0.0,30.23,0.0,0.0,0.0,0.0
hsa-miR-25-3p,0.0,41.38,25.19,58.47,53.35,58.61,22.49
hsa-miR-25-5p,0.0,0.0,0.0,3.31,0.0,0.0,0.0
hsa-miR-2682-5p,0.0,0.0,0.0,0.0,8.42,0.0,0.0
hsa-miR-26a-5p,0.0,7.92,0.0,2.21,0.0,0.0,0.0
hsa-miR-26b-5p,0.0,0.0,0.0,0.0,0.0,25.34,0.0
hsa-miR-27b-3p,0.0,0.0,0.0,0.0,0.0,0.0,16.24
hsa-miR-28-3p,65.43,199.86,459.67,1475.53,350.98,202.76,164.92
hsa-miR-296-3p,0.0,0.0,0.0,0.55,0.0,1.58,0.0
hsa-miR-296-5p,32.71,0.0,0.0,2.21,0.0,0.0,0.0
hsa-miR-29a-3p,0.0,7.92,70.53,2.21,22.46,0.0,0.0
hsa-miR-29c-3p,0.0,0.0,30.23,36.96,36.5,79.2,3.75
hsa-miR-301a-3p,0.0,0.0,0.0,6.62,0.0,0.0,21.24
hsa-miR-302c-3p,0.0,0.0,0.0,0.0,5.62,0.0,0.0
hsa-miR-3064-5p,0.0,0.0,0.0,11.03,0.0,0.0,0.0
hsa-miR-30c-2-3p,0.0,0.0,1.26,0.0,0.0,0.0,0.0
hsa-miR-30d-5p,104.68,12.33,49.12,123.56,47.73,31.68,0.0
hsa-miR-30e-5p,0.0,17.61,113.34,67.85,44.93,11.09,0.0
hsa-miR-3124-5p,0.0,0.0,0.0,3.31,0.0,0.0,0.0
hsa-miR-3127-3p,0.0,0.0,0.0,2.21,0.0,0.0,0.0
hsa-miR-3144-3p,0.0,15.85,0.0,4.41,0.0,0.0,0.0
hsa-miR-3150a-3p,26.17,0.0,0.0,13.24,0.0,39.6,12.49
hsa-miR-3162-5p,0.0,0.0,0.0,3.86,0.0,0.0,0.0
hsa-miR-3168,0.0,0.0,0.0,0.0,0.0,0.0,3.75
hsa-miR-3182,0.0,0.0,0.0,8.27,0.0,0.0,0.0
hsa-miR-3198,0.0,0.0,0.0,1.1,0.0,0.0,0.0
hsa-miR-3202,0.0,0.0,0.0,1.1,1.4,0.0,0.0
hsa-miR-320a-3p,2950.76,1125.21,1381.54,3385.73,2016.02,1344.86,824.62
hsa-miR-320a-5p,65.43,0.88,0.0,171.55,26.67,0.0,1.25
hsa-miR-320b,1033.75,147.91,269.51,497.54,363.61,159.99,218.65
hsa-miR-320c,0.0,0.88,36.52,33.65,9.83,0.0,0.0
hsa-miR-320d,137.4,80.12,80.6,77.22,26.67,60.19,3.75
hsa-miR-320e,621.56,375.95,255.65,160.52,131.97,156.82,41.23
hsa-miR-324-3p,39.26,69.55,54.15,136.25,82.83,98.21,46.23
hsa-miR-324-5p,137.4,125.02,293.44,420.32,113.72,71.28,111.2
hsa-miR-328-3p,0.0,3.52,3.78,0.0,7.02,3.17,1.25
hsa-miR-338-3p,0.0,0.0,0.0,1.65,0.0,0.0,0.0
hsa-miR-342-3p,0.0,6.16,78.08,67.3,26.67,83.95,0.0
hsa-miR-342-5p,0.0,0.0,0.0,0.55,8.42,0.0,0.0
hsa-miR-345-5p,0.0,9.68,23.93,1.65,0.0,0.0,26.24
hsa-miR-34a-5p,0.0,0.0,0.0,0.0,8.42,0.0,0.0
hsa-miR-3605-3p,0.0,0.0,0.0,0.55,0.0,1.58,0.0
hsa-miR-361-3p,0.0,13.21,0.0,8.27,2.81,0.0,0.0
hsa-miR-3615,0.0,44.9,1.26,12.69,1.4,4.75,0.0
hsa-miR-363-3p,52.34,191.94,285.88,311.66,561.56,451.46,157.43
hsa-miR-3648,0.0,0.0,30.23,0.0,0.0,0.0,0.0
hsa-miR-3662,0.0,0.0,0.0,0.0,0.0,0.0,1.25
hsa-miR-3665,0.0,0.0,0.0,3.86,2.81,0.0,0.0
hsa-miR-375-3p,0.0,0.0,1.26,0.0,1.4,0.0,0.0
hsa-miR-378a-3p,0.0,0.0,0.0,0.0,15.44,0.0,0.0
hsa-miR-378c,0.0,0.0,1.26,3.31,0.0,0.0,0.0
hsa-miR-378d,13.09,0.0,1.26,16.0,2.81,1.58,0.0
hsa-miR-3960,26.17,0.0,35.26,9.38,14.04,68.11,12.49
hsa-miR-421,0.0,0.0,0.0,4.96,0.0,0.0,0.0
hsa-miR-423-3p,0.0,12.33,2.52,12.14,11.23,0.0,0.0
hsa-miR-423-5p,26.17,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-424-5p,0.0,0.0,0.0,2.76,0.0,0.0,0.0
hsa-miR-425-3p,0.0,0.0,1.26,4.96,0.0,0.0,0.0
hsa-miR-425-5p,6.54,4.4,1.26,16.0,1.4,3.17,0.0
hsa-miR-4286,0.0,0.0,0.0,1.65,0.0,0.0,0.0
hsa-miR-429,45.8,0.0,0.0,0.0,9.83,0.0,0.0
hsa-miR-432-5p,0.0,14.97,0.0,1.65,19.65,0.0,0.0
hsa-miR-4446-3p,0.0,0.0,0.0,0.0,9.83,0.0,0.0
hsa-miR-4446-5p,0.0,0.0,0.0,1.1,0.0,0.0,0.0
hsa-miR-450b-5p,0.0,0.0,0.0,1.1,0.0,0.0,0.0
hsa-miR-4516,0.0,0.0,0.0,8.27,4.21,1.58,0.0
hsa-miR-4688,0.0,0.0,0.0,0.0,7.02,0.0,0.0
hsa-miR-4707-5p,13.09,6.16,0.0,0.0,0.0,0.0,0.0
hsa-miR-4721,6.54,7.92,0.0,6.07,0.0,0.0,0.0
hsa-miR-4733-5p,0.0,0.0,0.0,2.76,0.0,0.0,0.0
hsa-miR-4791,0.0,0.0,0.0,4.41,8.42,0.0,0.0
hsa-miR-484,6.54,29.05,26.45,62.33,46.33,28.51,10.0
hsa-miR-491-5p,0.0,0.88,0.0,0.0,0.0,0.0,0.0
hsa-miR-500a-3p,0.0,0.88,41.56,4.41,1.4,0.0,0.0
hsa-miR-500a-5p,0.0,0.0,0.0,0.0,1.4,0.0,0.0
hsa-miR-500b-3p,0.0,0.0,0.0,11.03,0.0,0.0,0.0
hsa-miR-501-3p,0.0,0.0,7.56,1.1,8.42,0.0,0.0
hsa-miR-502-3p,0.0,0.88,0.0,0.0,0.0,0.0,0.0
hsa-miR-5088-5p,0.0,0.0,26.45,0.0,0.0,0.0,0.0
hsa-miR-5090,0.0,0.0,0.0,0.0,0.0,0.0,13.74
hsa-miR-513b-3p,0.0,0.0,0.0,0.0,15.44,0.0,0.0
hsa-miR-5187-5p,19.63,0.0,0.0,32.54,11.23,26.93,0.0
hsa-miR-518a-5p,0.0,0.0,0.0,0.0,5.62,0.0,0.0
hsa-miR-532-3p,19.63,7.04,0.0,10.48,4.21,0.0,0.0
hsa-miR-542-3p,0.0,0.0,0.0,16.55,19.65,0.0,2.5
hsa-miR-548ad-5p,0.0,0.0,1.26,14.34,18.25,0.0,0.0
hsa-miR-548ay-5p,19.63,0.0,0.0,4.96,0.0,0.0,0.0
hsa-miR-548t-5p,0.0,0.0,0.0,10.48,0.0,0.0,0.0
hsa-miR-552-5p,0.0,0.0,0.0,2.76,9.83,0.0,0.0
hsa-miR-5583-3p,0.0,0.0,0.0,5.52,0.0,0.0,0.0
hsa-miR-564,0.0,0.0,0.0,0.0,0.0,20.59,0.0
hsa-miR-5698,0.0,7.92,30.23,2.76,0.0,0.0,0.0
hsa-miR-589-5p,0.0,0.88,1.26,0.0,1.4,0.0,0.0
hsa-miR-625-3p,0.0,0.0,0.0,0.55,0.0,0.0,0.0
hsa-miR-629-5p,0.0,12.33,0.0,2.21,0.0,0.0,0.0
hsa-miR-641,0.0,0.0,1.26,0.0,0.0,0.0,0.0
hsa-miR-652-3p,6.54,0.0,0.0,7.72,0.0,0.0,29.99
hsa-miR-659-5p,0.0,0.0,0.0,8.83,0.0,0.0,0.0
hsa-miR-660-5p,45.8,26.41,3.78,23.17,9.83,0.0,0.0
hsa-miR-664a-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.25
hsa-miR-664a-5p,0.0,28.17,32.74,62.33,8.42,11.09,0.0
hsa-miR-671-5p,26.17,0.0,0.0,6.62,4.21,0.0,0.0
hsa-miR-6724-5p,0.0,0.0,0.0,0.0,0.0,1.58,0.0
hsa-miR-6731-5p,0.0,0.0,0.0,0.0,4.21,0.0,0.0
hsa-miR-6734-5p,0.0,0.0,0.0,4.41,0.0,0.0,0.0
hsa-miR-6753-3p,0.0,0.0,0.0,0.0,1.4,0.0,0.0
hsa-miR-6767-5p,0.0,0.0,0.0,3.86,0.0,0.0,0.0
hsa-miR-6777-5p,0.0,10.57,26.45,11.58,5.62,6.34,0.0
hsa-miR-6783-5p,0.0,0.0,0.0,9.38,0.0,0.0,0.0
hsa-miR-6785-5p,0.0,0.0,18.89,0.55,0.0,0.0,0.0
hsa-miR-6793-5p,0.0,20.25,0.0,20.96,5.62,22.18,1.25
hsa-miR-6796-5p,0.0,0.0,0.0,3.31,0.0,0.0,0.0
hsa-miR-6803-5p,0.0,0.0,0.0,0.0,8.42,0.0,0.0
hsa-miR-6825-5p,0.0,0.0,0.0,3.31,0.0,0.0,0.0
hsa-miR-6840-5p,0.0,0.0,1.26,0.0,0.0,0.0,0.0
hsa-miR-6851-5p,0.0,0.0,0.0,1.65,0.0,0.0,0.0
hsa-miR-6867-5p,0.0,0.0,0.0,2.21,0.0,0.0,0.0
hsa-miR-6884-5p,0.0,0.0,31.48,0.0,0.0,0.0,23.74
hsa-miR-7-5p,0.0,0.0,0.0,0.0,0.0,15.84,0.0
hsa-miR-744-5p,0.0,9.68,20.15,23.72,8.42,25.34,2.5
hsa-miR-760,130.85,0.88,0.0,13.24,8.42,42.77,0.0
hsa-miR-766-5p,26.17,0.0,0.0,0.0,2.81,0.0,0.0
hsa-miR-769-3p,52.34,20.25,25.19,27.03,0.0,19.01,0.0
hsa-miR-7706,0.0,0.0,0.0,1.65,0.0,0.0,0.0
hsa-miR-7850-5p,0.0,0.0,26.45,6.62,2.81,0.0,12.49
hsa-miR-7851-3p,0.0,0.0,0.0,6.62,0.0,0.0,0.0
hsa-miR-874-3p,0.0,0.0,0.0,4.96,0.0,0.0,0.0
hsa-miR-891a-5p,0.0,0.0,0.0,6.07,0.0,0.0,0.0
hsa-miR-9-3p,0.0,28.17,78.08,38.06,14.04,33.27,29.99
hsa-miR-9-5p,0.0,0.88,0.0,12.69,0.0,0.0,21.24
hsa-miR-92a-3p,104.68,467.51,1186.34,1249.93,662.65,717.58,433.55
hsa-miR-92b-3p,0.0,0.0,51.63,4.41,1.4,0.0,1.25
hsa-miR-92b-5p,0.0,0.0,0.0,0.55,0.0,0.0,0.0
hsa-miR-93-3p,0.0,0.0,0.0,6.07,0.0,0.0,0.0
hsa-miR-93-5p,6.54,49.3,86.9,186.44,53.35,63.36,42.48
hsa-miR-937-5p,0.0,0.0,0.0,6.07,0.0,0.0,0.0
hsa-miR-941,13.09,0.0,1.26,11.58,0.0,1.58,0.0
hsa-miR-942-5p,0.0,0.0,0.0,13.79,15.44,0.0,0.0
hsa-miR-99a-5p,0.0,2.64,0.0,0.0,0.0,0.0,0.0
hsa-miR-99b-3p,0.0,0.88,1.26,0.0,0.0,0.0,0.0
hsa-mir-1273c-5p,19.63,14.97,32.74,14.34,0.0,19.01,0.0
hsa-mir-194-1-5p,0.0,0.0,0.0,0.0,1.4,0.0,0.0
hsa-mir-2110-5p,0.0,0.0,0.0,1.65,0.0,0.0,0.0
hsa-mir-298-5p,0.0,0.0,0.0,4.41,0.0,0.0,0.0
hsa-mir-3135b-5p,0.0,0.0,0.0,0.0,8.42,0.0,0.0
hsa-mir-3153-3p,0.0,3.52,0.0,0.0,0.0,0.0,0.0
hsa-mir-3155a-3p,39.26,9.68,0.0,28.13,12.64,0.0,8.75
hsa-mir-3199-2-5p,0.0,0.0,0.0,1.65,0.0,0.0,0.0
hsa-mir-3615-3p,0.0,0.0,0.0,0.0,0.0,1.58,0.0
hsa-mir-4269-5p,0.0,0.0,0.0,0.55,0.0,0.0,0.0
hsa-mir-4315-1-5p,0.0,0.0,0.0,0.0,0.0,17.42,0.0
hsa-mir-4507-3p,0.0,0.0,0.0,0.55,0.0,0.0,0.0
hsa-mir-558-3p,0.0,0.0,0.0,0.0,0.0,0.0,16.24
hsa-mir-5690-5p,0.0,0.0,0.0,0.0,0.0,1.58,0.0
hsa-mir-5708-5p,0.0,0.0,0.0,0.0,0.0,12.67,0.0
hsa-mir-632-3p,0.0,0.88,0.0,0.0,0.0,0.0,0.0
hsa-mir-663a-5p,0.0,0.0,0.0,0.0,0.0,0.0,10.0
hsa-mir-760-3p,0.0,0.0,0.0,0.0,0.0,1.58,0.0
hsa-mir-7851-3p,0.0,15.85,0.0,3.86,0.0,0.0,0.0
