miRNA,SRR21850582,SRR21850583,SRR21850584,SRR21850586,SRR21850587,SRR21850588,SRR21850589
hsa-mir-3168-5p,0.0,0.0,0.76,0.0,0.0,0.0,0.0
hsa-mir-3195-5p,0.0,0.0,0.0,0.0,0.0,10.25,0.0
hsa-mir-378f-3p,0.0,0.0,0.0,0.0,44.51,0.0,0.0
hsa-mir-3907-3p,0.0,0.0,12.17,0.0,0.0,0.0,0.0
hsa-mir-4254-3p,0.0,0.0,0.0,0.75,0.0,0.0,0.0
hsa-mir-4635-3p,0.0,0.0,0.0,36.06,0.0,0.0,0.0
hsa-mir-4644-3p,0.0,0.0,0.0,0.0,0.0,28.71,0.0
hsa-mir-4666b-5p,0.0,0.0,0.0,13.52,0.0,0.0,0.0
hsa-mir-4674-3p,0.0,0.0,0.0,30.05,0.0,0.0,0.0
hsa-mir-4767-5p,0.0,0.0,0.0,0.75,0.0,0.0,0.0
hsa-mir-6082-5p,0.0,0.0,0.0,0.0,0.0,47.17,0.0
hsa-mir-612-5p,0.0,0.68,0.0,0.0,0.0,0.0,0.0
hsa-mir-621-3p,0.0,0.68,0.0,0.0,0.0,0.0,0.0
hsa-mir-638-5p,0.0,0.0,0.76,0.0,86.8,0.0,0.0
hsa-mir-7846-3p,11.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-8073-5p,0.0,0.0,0.0,0.75,0.0,0.0,0.0
hsa-mir-8078-3p,0.0,0.0,0.76,0.0,0.0,0.0,0.0
