miRNA,GSM2481395,GSM2481396,GSM2481397,GSM2481398,GSM2481399,GSM2481400
hsa-miR-1307-5p,6.68,0.0,0.0,20.9,28.72,14.34
hsa-miR-130a-3p,46.76,0.0,28.48,37.63,45.96,14.34
hsa-miR-130b-3p,0.0,0.0,0.0,25.09,11.49,4.78
hsa-miR-130b-5p,0.0,0.0,5.7,0.0,0.0,0.0
hsa-miR-132-3p,6.68,0.0,0.0,0.0,5.74,0.0
hsa-miR-1323,20.04,0.0,136.7,66.9,126.38,38.24
hsa-miR-133a-3p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-136-3p,13.36,0.0,0.0,29.27,5.74,9.56
hsa-miR-139-5p,6.68,0.0,11.39,0.0,5.74,0.0
hsa-miR-140-3p,33.4,0.0,34.18,12.54,0.0,4.78
hsa-miR-141-3p,13.36,11.95,34.18,8.36,34.47,23.9
hsa-miR-142-3p,53.44,0.0,17.09,12.54,0.0,0.0
hsa-miR-142-5p,1062.12,35.84,1065.14,221.59,298.73,129.08
hsa-miR-143-3p,1616.57,430.04,279.1,4527.97,465.32,411.13
hsa-miR-144-3p,26.72,0.0,34.18,112.89,74.68,62.15
hsa-miR-144-5p,20.04,0.0,34.18,12.54,0.0,19.12
hsa-miR-145-5p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-146a-5p,6.68,0.0,0.0,25.09,11.49,9.56
hsa-miR-146b-5p,0.0,0.0,11.39,0.0,5.74,0.0
hsa-miR-148a-3p,160.32,11.95,170.88,309.39,304.47,234.25
hsa-miR-148b-3p,13.36,0.0,11.39,12.54,17.23,14.34
hsa-miR-148b-5p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-150-3p,0.0,0.0,0.0,4.18,5.74,0.0
hsa-miR-150-5p,1175.68,0.0,911.35,204.87,270.0,152.98
hsa-miR-151a-3p,80.16,0.0,45.57,96.16,34.47,14.34
hsa-miR-151a-5p,100.2,0.0,108.22,20.9,34.47,43.03
hsa-miR-151b,0.0,0.0,5.7,8.36,0.0,0.0
hsa-miR-152-3p,6.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-155-5p,6.68,0.0,17.09,0.0,0.0,0.0
hsa-miR-15a-5p,20.04,0.0,28.48,305.21,448.09,90.83
hsa-miR-15b-3p,0.0,0.0,0.0,4.18,17.23,4.78
hsa-miR-15b-5p,0.0,0.0,11.39,0.0,28.72,9.56
hsa-miR-16-2-3p,40.08,0.0,11.39,75.26,63.19,23.9
hsa-miR-16-5p,427.52,0.0,427.19,321.93,425.11,124.3
hsa-miR-17-3p,6.68,0.0,0.0,4.18,0.0,0.0
hsa-miR-17-5p,6.68,0.0,5.7,0.0,5.74,9.56
hsa-miR-181a-2-3p,13.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-181a-3p,6.68,0.0,0.0,8.36,5.74,0.0
hsa-miR-181a-5p,647.96,59.73,478.46,1003.43,425.11,282.06
hsa-miR-181b-5p,46.76,0.0,11.39,25.09,5.74,4.78
hsa-miR-181c-5p,0.0,0.0,34.18,0.0,0.0,0.0
hsa-miR-182-5p,40.08,0.0,56.96,45.99,40.21,19.12
hsa-miR-183-5p,6.68,0.0,22.78,0.0,5.74,0.0
hsa-miR-186-5p,113.56,11.95,108.22,66.9,51.7,14.34
hsa-miR-188-5p,0.0,0.0,0.0,0.0,11.49,0.0
hsa-miR-18b-5p,0.0,0.0,0.0,0.0,5.74,0.0
hsa-miR-191-5p,227.12,47.78,250.62,183.96,91.92,114.73
hsa-miR-192-5p,140.28,23.89,102.53,192.32,103.4,57.37
hsa-miR-193a-5p,0.0,0.0,0.0,0.0,0.0,4.78
hsa-miR-193b-3p,0.0,0.0,5.7,0.0,0.0,0.0
hsa-miR-193b-5p,0.0,0.0,5.7,0.0,11.49,0.0
hsa-miR-194-5p,6.68,0.0,17.09,8.36,5.74,0.0
hsa-miR-195-3p,6.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-196b-5p,6.68,0.0,5.7,0.0,0.0,0.0
hsa-miR-197-3p,0.0,0.0,0.0,0.0,11.49,0.0
hsa-miR-199a-3p,20.04,0.0,56.96,75.26,97.66,0.0
hsa-miR-199a-5p,0.0,11.95,11.39,4.18,5.74,0.0
hsa-miR-199b-3p,46.76,0.0,0.0,12.54,11.49,71.71
hsa-miR-199b-5p,0.0,0.0,0.0,4.18,5.74,0.0
hsa-miR-19a-3p,0.0,0.0,5.7,4.18,5.74,9.56
hsa-miR-19b-3p,6.68,0.0,17.09,16.72,34.47,0.0
hsa-miR-200b-3p,0.0,0.0,0.0,0.0,0.0,4.78
hsa-miR-203a-3p,126.92,657.0,324.67,217.41,17.23,258.15
hsa-miR-204-5p,6.68,0.0,0.0,0.0,5.74,0.0
hsa-miR-205-5p,13.36,11.95,5.7,20.9,5.74,9.56
hsa-miR-20a-5p,0.0,0.0,0.0,4.18,22.98,4.78
hsa-miR-21-3p,0.0,0.0,11.39,16.72,0.0,4.78
hsa-miR-21-5p,340.68,71.67,381.63,443.18,321.7,200.78
hsa-miR-215-5p,0.0,0.0,0.0,45.99,22.98,0.0
hsa-miR-218-5p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-22-3p,774.88,119.45,1139.19,1003.43,1315.54,463.72
hsa-miR-221-3p,26.72,11.95,39.87,45.99,28.72,4.78
hsa-miR-222-3p,73.48,0.0,131.01,20.9,34.47,33.46
hsa-miR-222-5p,0.0,0.0,5.7,0.0,0.0,0.0
hsa-miR-223-3p,200.4,11.95,153.79,33.45,68.94,4.78
hsa-miR-223-5p,13.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-224-5p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-23a-3p,86.84,0.0,56.96,163.06,91.92,43.03
hsa-miR-23b-3p,33.4,35.84,51.26,33.45,0.0,4.78
hsa-miR-23b-5p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-24-2-5p,0.0,0.0,5.7,0.0,0.0,0.0
hsa-miR-24-3p,0.0,0.0,0.0,4.18,0.0,4.78
hsa-miR-25-3p,153.64,0.0,68.35,246.68,258.51,43.03
hsa-miR-25-5p,6.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-26a-2-3p,0.0,0.0,5.7,0.0,0.0,0.0
hsa-miR-26a-5p,2004.01,23.89,1435.37,689.86,453.83,305.96
hsa-miR-26b-3p,6.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-26b-5p,146.96,0.0,176.57,29.27,68.94,43.03
hsa-miR-27a-3p,394.12,59.73,148.09,129.61,103.4,71.71
hsa-miR-27b-3p,514.36,59.73,529.72,593.7,310.21,172.1
hsa-miR-28-3p,40.08,11.95,68.35,33.45,17.23,9.56
hsa-miR-28-5p,0.0,0.0,5.7,4.18,0.0,0.0
hsa-miR-29a-3p,46.76,0.0,56.96,41.81,57.45,28.68
hsa-miR-29b-3p,13.36,0.0,0.0,0.0,5.74,0.0
hsa-miR-29c-3p,6.68,0.0,5.7,4.18,0.0,0.0
hsa-miR-301a-3p,6.68,0.0,0.0,4.18,5.74,0.0
hsa-miR-301b-3p,6.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-30a-3p,26.72,0.0,0.0,62.71,5.74,4.78
hsa-miR-30a-5p,313.96,11.95,233.53,393.01,114.89,76.49
hsa-miR-30b-5p,46.76,0.0,79.74,41.81,22.98,9.56
hsa-miR-30c-5p,126.92,11.95,205.05,41.81,51.7,62.15
hsa-miR-30d-5p,187.04,11.95,216.45,129.61,114.89,124.3
hsa-miR-30e-3p,0.0,0.0,11.39,0.0,0.0,0.0
hsa-miR-30e-5p,233.8,0.0,216.45,45.99,40.21,47.81
hsa-miR-31-5p,0.0,0.0,0.0,0.0,5.74,4.78
hsa-miR-3177-3p,0.0,0.0,0.0,0.0,5.74,0.0
hsa-miR-3178,0.0,0.0,0.0,0.0,0.0,4.78
hsa-miR-3199,0.0,0.0,0.0,0.0,5.74,0.0
hsa-miR-32-5p,0.0,0.0,0.0,16.72,28.72,4.78
hsa-miR-320a-3p,20.04,131.4,22.78,100.34,91.92,90.83
hsa-miR-320b,33.4,0.0,28.48,4.18,22.98,0.0
hsa-miR-323a-3p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-323b-3p,0.0,0.0,0.0,0.0,5.74,0.0
hsa-miR-328-3p,13.36,0.0,5.7,4.18,5.74,14.34
hsa-miR-335-3p,0.0,0.0,5.7,4.18,0.0,0.0
hsa-miR-335-5p,13.36,0.0,5.7,154.7,137.87,76.49
hsa-miR-337-5p,6.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-338-3p,0.0,0.0,0.0,0.0,0.0,4.78
hsa-miR-338-5p,0.0,0.0,5.7,0.0,0.0,0.0
hsa-miR-339-3p,20.04,0.0,0.0,0.0,11.49,0.0
hsa-miR-33b-5p,0.0,0.0,0.0,0.0,11.49,0.0
hsa-miR-340-3p,20.04,0.0,5.7,0.0,0.0,0.0
hsa-miR-340-5p,6.68,0.0,22.78,4.18,0.0,0.0
hsa-miR-342-3p,33.4,0.0,11.39,16.72,28.72,4.78
hsa-miR-342-5p,0.0,0.0,5.7,0.0,17.23,4.78
hsa-miR-345-5p,20.04,0.0,5.7,0.0,0.0,0.0
hsa-miR-3605-3p,0.0,0.0,5.7,4.18,0.0,0.0
hsa-miR-361-3p,6.68,0.0,11.39,0.0,0.0,0.0
hsa-miR-361-5p,0.0,0.0,0.0,0.0,5.74,0.0
hsa-miR-3611,0.0,0.0,0.0,0.0,5.74,0.0
hsa-miR-3615,0.0,0.0,0.0,0.0,11.49,0.0
hsa-miR-362-5p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-363-3p,6.68,0.0,11.39,4.18,5.74,4.78
hsa-miR-365a-3p,0.0,0.0,0.0,0.0,11.49,0.0
hsa-miR-365b-3p,0.0,0.0,0.0,0.0,0.0,4.78
hsa-miR-3665,0.0,0.0,0.0,4.18,11.49,0.0
hsa-miR-372-3p,0.0,0.0,0.0,0.0,5.74,0.0
hsa-miR-374a-3p,0.0,0.0,5.7,0.0,11.49,0.0
hsa-miR-374a-5p,0.0,0.0,11.39,0.0,0.0,0.0
hsa-miR-374b-5p,6.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-375-3p,0.0,0.0,5.7,20.9,5.74,0.0
hsa-miR-376a-3p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-376c-3p,6.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-377-5p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-378a-3p,26.72,0.0,17.09,96.16,109.15,33.46
hsa-miR-378c,0.0,0.0,0.0,4.18,0.0,9.56
hsa-miR-378d,0.0,0.0,0.0,4.18,0.0,4.78
hsa-miR-379-5p,0.0,0.0,0.0,4.18,0.0,4.78
hsa-miR-381-3p,13.36,0.0,5.7,16.72,5.74,0.0
hsa-miR-382-5p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-409-3p,6.68,0.0,0.0,12.54,0.0,0.0
hsa-miR-410-3p,13.36,0.0,0.0,45.99,22.98,0.0
hsa-miR-411-5p,26.72,11.95,5.7,62.71,11.49,14.34
hsa-miR-421,6.68,0.0,0.0,0.0,0.0,14.34
hsa-miR-423-3p,53.44,0.0,0.0,112.89,183.83,4.78
hsa-miR-423-5p,193.72,0.0,119.61,1601.3,28.72,1415.06
hsa-miR-424-3p,6.68,0.0,11.39,20.9,28.72,0.0
hsa-miR-424-5p,0.0,0.0,11.39,4.18,11.49,9.56
hsa-miR-425-5p,13.36,0.0,17.09,16.72,22.98,14.34
hsa-miR-431-3p,6.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-431-5p,0.0,11.95,0.0,16.72,0.0,0.0
hsa-miR-432-5p,6.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-433-3p,0.0,0.0,5.7,4.18,0.0,0.0
hsa-miR-4433b-5p,0.0,0.0,5.7,0.0,5.74,9.56
hsa-miR-4508,0.0,0.0,0.0,4.18,11.49,4.78
hsa-miR-450a-5p,13.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-450b-5p,0.0,0.0,11.39,4.18,5.74,4.78
hsa-miR-451a,193.72,0.0,102.53,1371.35,0.0,143.42
hsa-miR-454-3p,0.0,0.0,0.0,4.18,5.74,0.0
hsa-miR-454-5p,6.68,0.0,5.7,0.0,0.0,0.0
hsa-miR-455-5p,0.0,0.0,0.0,8.36,0.0,4.78
hsa-miR-4723-3p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-4732-5p,0.0,0.0,0.0,8.36,0.0,0.0
hsa-miR-483-3p,0.0,0.0,0.0,0.0,0.0,4.78
hsa-miR-484,0.0,0.0,5.7,79.44,149.36,23.9
hsa-miR-486-3p,0.0,0.0,0.0,12.54,57.45,4.78
hsa-miR-486-5p,0.0,0.0,5.7,3670.88,11587.09,95.61
hsa-miR-487b-3p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-489-3p,0.0,0.0,0.0,0.0,17.23,0.0
hsa-miR-493-5p,0.0,0.0,0.0,12.54,0.0,0.0
hsa-miR-497-5p,6.68,0.0,5.7,0.0,5.74,4.78
hsa-miR-501-3p,0.0,0.0,0.0,0.0,11.49,0.0
hsa-miR-5010-5p,0.0,0.0,0.0,0.0,0.0,4.78
hsa-miR-505-3p,0.0,0.0,5.7,0.0,0.0,0.0
hsa-miR-512-3p,6.68,0.0,11.39,12.54,0.0,4.78
hsa-miR-515-3p,0.0,0.0,0.0,0.0,5.74,0.0
hsa-miR-515-5p,6.68,0.0,51.26,33.45,17.23,19.12
hsa-miR-516a-5p,13.36,0.0,28.48,66.9,51.7,33.46
hsa-miR-516b-5p,6.68,0.0,85.44,33.45,74.68,52.59
hsa-miR-517-5p,0.0,23.89,28.48,8.36,22.98,0.0
hsa-miR-517a-3p,0.0,0.0,17.09,0.0,11.49,23.9
hsa-miR-517b-3p,13.36,0.0,0.0,20.9,5.74,19.12
hsa-miR-517c-3p,0.0,0.0,0.0,12.54,0.0,0.0
hsa-miR-518a-3p,20.04,0.0,11.39,4.18,5.74,0.0
hsa-miR-518a-5p,0.0,0.0,11.39,0.0,0.0,0.0
hsa-miR-518b,6.68,0.0,11.39,37.63,5.74,23.9
hsa-miR-518c-3p,6.68,0.0,5.7,16.72,11.49,9.56
hsa-miR-518e-3p,6.68,0.0,0.0,12.54,5.74,4.78
hsa-miR-518e-5p,0.0,0.0,0.0,0.0,5.74,0.0
hsa-miR-518f-3p,13.36,0.0,0.0,4.18,0.0,4.78
hsa-miR-519a-2-5p,0.0,0.0,11.39,0.0,0.0,0.0
hsa-miR-519a-3p,0.0,0.0,5.7,4.18,0.0,0.0
hsa-miR-519a-5p,0.0,0.0,0.0,12.54,0.0,0.0
hsa-miR-519c-3p,13.36,0.0,0.0,16.72,40.21,0.0
hsa-miR-519c-5p,0.0,0.0,5.7,0.0,0.0,0.0
hsa-miR-519d-5p,0.0,0.0,0.0,0.0,5.74,0.0
hsa-miR-520a-3p,6.68,0.0,5.7,8.36,11.49,0.0
hsa-miR-520a-5p,6.68,0.0,5.7,0.0,0.0,0.0
hsa-miR-520b-5p,0.0,0.0,0.0,0.0,0.0,4.78
hsa-miR-520d-3p,0.0,11.95,11.39,4.18,11.49,4.78
hsa-miR-520d-5p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-520g-3p,0.0,0.0,0.0,4.18,11.49,0.0
hsa-miR-522-3p,6.68,0.0,0.0,4.18,0.0,0.0
hsa-miR-523-3p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-523-5p,0.0,0.0,0.0,4.18,0.0,9.56
hsa-miR-524-3p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-524-5p,0.0,0.0,5.7,0.0,5.74,0.0
hsa-miR-525-5p,0.0,0.0,5.7,4.18,5.74,9.56
hsa-miR-526b-5p,6.68,11.95,0.0,4.18,0.0,9.56
hsa-miR-527,0.0,0.0,5.7,0.0,0.0,0.0
hsa-miR-532-5p,6.68,0.0,0.0,25.09,28.72,0.0
hsa-miR-542-3p,0.0,0.0,0.0,20.9,0.0,0.0
hsa-miR-548k,6.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-561-5p,6.68,0.0,11.39,0.0,0.0,0.0
hsa-miR-574-3p,26.72,0.0,11.39,0.0,5.74,0.0
hsa-miR-574-5p,0.0,0.0,5.7,4.18,5.74,0.0
hsa-miR-584-5p,20.04,0.0,0.0,29.27,45.96,28.68
hsa-miR-589-5p,0.0,0.0,5.7,0.0,5.74,0.0
hsa-miR-590-3p,6.68,0.0,5.7,0.0,0.0,0.0
hsa-miR-625-5p,13.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-6499-5p,20.04,11.95,28.48,12.54,11.49,9.56
hsa-miR-652-3p,6.68,0.0,0.0,29.27,40.21,4.78
hsa-miR-654-3p,6.68,0.0,0.0,8.36,0.0,4.78
hsa-miR-660-5p,13.36,0.0,17.09,45.99,0.0,4.78
hsa-miR-6735-5p,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-6795-5p,6.68,0.0,5.7,0.0,0.0,0.0
hsa-miR-744-5p,0.0,0.0,5.7,8.36,5.74,4.78
hsa-miR-7706,0.0,0.0,0.0,0.0,5.74,0.0
hsa-miR-8072,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-885-5p,0.0,0.0,0.0,12.54,0.0,0.0
hsa-miR-889-3p,13.36,0.0,0.0,8.36,5.74,0.0
hsa-miR-92a-3p,855.04,35.84,860.09,4632.49,7456.64,2184.73
hsa-miR-92b-3p,13.36,0.0,5.7,16.72,34.47,4.78
hsa-miR-93-3p,0.0,0.0,0.0,0.0,0.0,4.78
hsa-miR-93-5p,13.36,0.0,39.87,29.27,22.98,0.0
hsa-miR-941,6.68,0.0,0.0,16.72,5.74,4.78
hsa-miR-942-5p,0.0,0.0,0.0,0.0,5.74,0.0
hsa-miR-96-5p,0.0,0.0,0.0,0.0,22.98,0.0
hsa-miR-98-5p,0.0,0.0,17.09,0.0,0.0,0.0
hsa-miR-9985,0.0,0.0,0.0,16.72,0.0,0.0
hsa-miR-99a-3p,0.0,0.0,0.0,0.0,5.74,0.0
hsa-miR-99a-5p,20.04,0.0,0.0,0.0,5.74,0.0
hsa-miR-99b-3p,0.0,11.95,0.0,4.18,0.0,0.0
hsa-miR-99b-5p,60.12,23.89,91.13,129.61,80.43,66.93
hsa-mir-1273c-5p,0.0,0.0,5.7,0.0,0.0,0.0
hsa-mir-1283-2-5p,0.0,0.0,0.0,0.0,0.0,9.56
hsa-mir-4683-3p,6.68,0.0,11.39,8.36,0.0,4.78
hsa-mir-518b-3p,0.0,0.0,0.0,0.0,0.0,4.78
